measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Argentina,Both,All Ages,Mental disorders,Number,1990,4768354.01789,4977942.50944,4565726.40742
Prevalence,Lithuania,Both,All Ages,Mental disorders,Number,1990,456601.126838,477692.61562,435776.028468
Prevalence,Gabon,Both,All Ages,Mental disorders,Number,1990,107510.483482,113072.51138,102311.014691
Prevalence,Uzbekistan,Both,All Ages,Substance use disorders,Number,1990,480023.009511,531169.811862,435293.74915
Prevalence,Mauritania,Both,All Ages,Mental disorders,Number,1990,206794.577552,220003.923267,193775.324826
Prevalence,"Southeast Asia, East Asia, and Oceania",Both,All Ages,Mental disorders,Number,1990,189643526.62,200427819.092,179877731.808
Prevalence,East Asia,Both,All Ages,Mental disorders,Number,1990,137157109.043,144444526.61,130374274.208
Prevalence,Uruguay,Both,All Ages,Substance use disorders,Number,1990,52673.2487555,57773.103708,47896.2982657
Prevalence,Saint Vincent and the Grenadines,Both,All Ages,Substance use disorders,Number,1990,2496.62907665,2731.77352751,2242.53043587
Prevalence,France,Both,All Ages,Mental disorders,Number,1990,9188917.56869,9530139.22332,8843135.18775
Prevalence,Bosnia and Herzegovina,Both,All Ages,Mental disorders,Number,1990,525732.758867,556839.225308,497458.222791
Prevalence,Turkey,Both,All Ages,Mental disorders,Number,1990,7875307.54528,8367083.72604,7402961.34725
Prevalence,Russian Federation,Both,All Ages,Substance use disorders,Number,1990,8644496.7655,9402663.2552,7908680.78804
Prevalence,Campeche,Both,All Ages,Mental disorders,Number,1990,52145.3926922,54968.4627009,49389.6948872
Prevalence,Northern Mariana Islands,Both,All Ages,Mental disorders,Number,1990,4628.30265049,4858.88615604,4420.75416021
Prevalence,Nigeria,Both,All Ages,Substance use disorders,Number,1990,1018643.84735,1129813.52,911087.165197
Prevalence,Botswana,Both,All Ages,Substance use disorders,Number,1990,24336.1645204,27037.6593558,21907.4641124
Prevalence,Burundi,Both,All Ages,Substance use disorders,Number,1990,91401.526869,101903.362671,81705.3707712
Prevalence,Ukraine,Both,All Ages,Substance use disorders,Number,1990,2936106.82591,3229716.92545,2668306.6847
Prevalence,Virginia,Both,All Ages,Substance use disorders,Number,1990,262216.27181,286592.955447,239130.755458
Prevalence,Fiji,Both,All Ages,Mental disorders,Number,1990,76889.7754023,81311.1927875,72650.9215227
Prevalence,High-middle SDI,Both,All Ages,Mental disorders,Number,1990,132277342.131,138567398.432,126368273.431
Prevalence,Uzbekistan,Both,All Ages,Mental disorders,Number,1990,2022533.96174,2155151.37309,1896625.54887
Prevalence,Global,Both,All Ages,Substance use disorders,Number,1990,117560678.033,126965440.346,107615831.841
Prevalence,"Southeast Asia, East Asia, and Oceania",Both,All Ages,Substance use disorders,Number,1990,33928111.6119,37080150.6891,30912591.0723
Prevalence,Saint Vincent and the Grenadines,Both,All Ages,Mental disorders,Number,1990,13694.2210899,14407.5571284,12961.4828664
Prevalence,North Korea,Both,All Ages,Mental disorders,Number,1990,2207570.92281,2318890.05787,2102315.24278
Prevalence,Finland,Both,All Ages,Substance use disorders,Number,1990,143581.280634,157623.671465,130173.441093
Prevalence,Trinidad and Tobago,Both,All Ages,Substance use disorders,Number,1990,25397.305459,28112.5138746,22966.0804153
Prevalence,Global,Both,All Ages,Mental disorders,Number,1990,670158919.958,710324373.195,632356809.466
Prevalence,Southeast Asia,Both,All Ages,Substance use disorders,Number,1990,6502477.54345,7218094.54975,5846620.65969
Prevalence,Greece,Both,All Ages,Mental disorders,Number,1990,1583817.03385,1648582.36121,1518573.558
Prevalence,Central Europe,Both,All Ages,Mental disorders,Number,1990,13912527.494,14572519.7152,13281955.4081
Prevalence,Turkmenistan,Both,All Ages,Substance use disorders,Number,1990,85764.6085849,94855.0301034,77661.5160991
Prevalence,Fiji,Both,All Ages,Substance use disorders,Number,1990,12795.6624134,14177.4140126,11467.0422311
Prevalence,Campeche,Both,All Ages,Substance use disorders,Number,1990,12144.0596814,13331.9924333,11015.7212787
Prevalence,Botswana,Both,All Ages,Mental disorders,Number,1990,142070.923684,150458.2789,134182.421718
Prevalence,Tunisia,Both,All Ages,Substance use disorders,Number,1990,139547.812699,157146.224236,123994.560998
Prevalence,Saint Lucia,Both,All Ages,Substance use disorders,Number,1990,3121.96029356,3427.41038805,2800.02104793
Prevalence,North Korea,Both,All Ages,Substance use disorders,Number,1990,425138.160491,466032.321919,386457.501206
Prevalence,Tunisia,Both,All Ages,Mental disorders,Number,1990,1212989.84657,1290642.13874,1135406.77662
Prevalence,Suriname,Both,All Ages,Mental disorders,Number,1990,51878.3790586,54539.9191048,49367.9261688
Prevalence,Turkey,Both,All Ages,Substance use disorders,Number,1990,1058810.04433,1197689.90975,941284.229538
Prevalence,East Asia,Both,All Ages,Substance use disorders,Number,1990,27317980.1564,29909807.0474,24870355.3016
Prevalence,Albania,Both,All Ages,Mental disorders,Number,1990,339025.564758,359976.729003,320238.874299
Prevalence,Finland,Both,All Ages,Mental disorders,Number,1990,753776.923789,785550.937408,722764.965441
Prevalence,France,Both,All Ages,Substance use disorders,Number,1990,1314333.65355,1428201.56508,1202950.99421
Prevalence,Kiribati,Both,All Ages,Substance use disorders,Number,1990,1190.69849433,1323.19516965,1068.65307046
Prevalence,China,Both,All Ages,Substance use disorders,Number,1990,25922100.084,28392587.1472,23618016.7752
Prevalence,Bosnia and Herzegovina,Both,All Ages,Substance use disorders,Number,1990,148699.063615,164266.179247,133555.82658
Prevalence,South Asia,Both,All Ages,Mental disorders,Number,1990,152067548.534,168414372.25,136460833.733
Prevalence,Andean Latin America,Both,All Ages,Substance use disorders,Number,1990,774241.448717,845676.787659,706804.999475
Prevalence,Southern Sub-Saharan Africa,Both,All Ages,Substance use disorders,Number,1990,1249187.89043,1370374.4903,1137388.15193
Prevalence,Montana,Both,All Ages,Substance use disorders,Number,1990,34798.846027,37911.485004,31578.0588265
Prevalence,Federated States of Micronesia,Both,All Ages,Mental disorders,Number,1990,10325.4442713,11053.5751891,9651.97037149
Prevalence,United States,Both,All Ages,Mental disorders,Number,1990,41157958.4167,43045408.9359,39420280.9499
Prevalence,Iceland,Both,All Ages,Substance use disorders,Number,1990,4570.68546729,5051.43665286,4128.10571425
Prevalence,Ecuador,Both,All Ages,Mental disorders,Number,1990,1159170.3975,1221314.37005,1102464.67447
Prevalence,Albania,Both,All Ages,Substance use disorders,Number,1990,67733.7445069,76392.985335,60182.0180927
Prevalence,Brazil,Both,All Ages,Mental disorders,Number,1990,19856389.475,20831941.5179,18941515.9915
Prevalence,Equatorial Guinea,Both,All Ages,Substance use disorders,Number,1990,6522.62066645,7232.77440735,5845.88391824
Prevalence,Marshall Islands,Both,All Ages,Mental disorders,Number,1990,4384.27723584,4698.82427401,4090.38628645
Prevalence,Argentina,Both,All Ages,Substance use disorders,Number,1990,831650.907797,920788.754998,748258.532532
Prevalence,Moldova,Both,All Ages,Substance use disorders,Number,1990,193501.351693,212164.729403,176805.283746
Prevalence,Colima,Both,All Ages,Mental disorders,Number,1990,42002.8216562,44240.3207931,39778.3981372
Prevalence,"Virgin Islands, U.S.",Both,All Ages,Mental disorders,Number,1990,13733.9807912,14351.7494688,13109.2087358
Prevalence,Lithuania,Both,All Ages,Substance use disorders,Number,1990,209242.127207,228252.481347,192883.37319
Prevalence,Laos,Both,All Ages,Mental disorders,Number,1990,496412.118527,542181.262171,452890.022542
Prevalence,Denmark,Both,All Ages,Substance use disorders,Number,1990,119580.363465,130123.3789,110420.964864
Prevalence,Namibia,Both,All Ages,Substance use disorders,Number,1990,27859.1896748,30962.0570717,25019.6636076
Prevalence,Taiwan,Both,All Ages,Mental disorders,Number,1990,2202569.76387,2315891.53254,2090393.92465
Prevalence,Vermont,Both,All Ages,Substance use disorders,Number,1990,25162.2491823,27752.810719,22914.2319847
Prevalence,China,Both,All Ages,Mental disorders,Number,1990,130461904.287,137432877.581,124026350.131
Prevalence,Lesotho,Both,All Ages,Mental disorders,Number,1990,223437.681946,236102.001808,211023.665993
Prevalence,Northern Mariana Islands,Both,All Ages,Substance use disorders,Number,1990,1120.83689992,1238.03322884,1010.13942656
Prevalence,Czech Republic,Both,All Ages,Mental disorders,Number,1990,1202601.93438,1255924.99236,1149910.96534
Prevalence,Afghanistan,Both,All Ages,Substance use disorders,Number,1990,167934.268209,190201.346425,148530.871243
Prevalence,Gabon,Both,All Ages,Substance use disorders,Number,1990,18028.0349477,20039.0801833,16262.0145804
Prevalence,Iceland,Both,All Ages,Mental disorders,Number,1990,34709.8110249,36174.5948041,33273.7150608
Prevalence,Paraguay,Both,All Ages,Mental disorders,Number,1990,498471.860931,522309.318057,475217.84305
Prevalence,Chile,Both,All Ages,Substance use disorders,Number,1990,406173.450831,452583.876574,363124.740962
Prevalence,Peru,Both,All Ages,Mental disorders,Number,1990,2419118.84707,2550827.31202,2295679.5276
Prevalence,Coahuila,Both,All Ages,Substance use disorders,Number,1990,38334.0615163,42106.0687005,34760.9226078
Prevalence,Germany,Both,All Ages,Mental disorders,Number,1990,11912751.1861,12396631.6509,11479801.3765
Prevalence,High-middle SDI,Both,All Ages,Substance use disorders,Number,1990,32083535.3473,34595627.466,29530327.0616
Prevalence,Mauritania,Both,All Ages,Substance use disorders,Number,1990,22544.4865396,25203.0460134,20224.8906709
Prevalence,Taiwan,Both,All Ages,Substance use disorders,Number,1990,515619.058019,566544.336053,463584.826658
Prevalence,Saint Lucia,Both,All Ages,Mental disorders,Number,1990,16856.0698383,17719.2589701,15999.7986943
Prevalence,Namibia,Both,All Ages,Mental disorders,Number,1990,151349.681989,159956.932461,143101.03823
Prevalence,Greece,Both,All Ages,Substance use disorders,Number,1990,155318.589189,173441.918885,138688.74644
Prevalence,Germany,Both,All Ages,Substance use disorders,Number,1990,2248835.42184,2469928.47029,2046922.309
Prevalence,Djibouti,Both,All Ages,Mental disorders,Number,1990,53062.8698623,56274.1348441,50055.0936485
Prevalence,Bulgaria,Both,All Ages,Substance use disorders,Number,1990,222444.743635,242342.699628,204102.612938
Prevalence,Puerto Rico,Both,All Ages,Mental disorders,Number,1990,472875.762691,494132.142962,453180.783211
Prevalence,Puerto Rico,Both,All Ages,Substance use disorders,Number,1990,105507.136176,113623.583615,97314.2497865
Prevalence,Trinidad and Tobago,Both,All Ages,Mental disorders,Number,1990,157998.190168,165757.94034,150975.966379
Prevalence,Colima,Both,All Ages,Substance use disorders,Number,1990,8824.10949952,9695.85441178,8006.09138958
Prevalence,Lesotho,Both,All Ages,Substance use disorders,Number,1990,34252.2117854,37982.9504853,30840.2488438
Prevalence,United Arab Emirates,Both,All Ages,Mental disorders,Number,1990,222826.072288,234728.325502,210791.366497
Prevalence,Oceania,Both,All Ages,Substance use disorders,Number,1990,107653.911991,117646.721836,96906.0342173
Prevalence,Latvia,Both,All Ages,Substance use disorders,Number,1990,145974.685086,158539.491185,135608.949674
Prevalence,Israel,Both,All Ages,Mental disorders,Number,1990,591270.626823,620706.819832,564255.593628
Prevalence,Chile,Both,All Ages,Mental disorders,Number,1990,2013352.13544,2093807.53304,1935342.82029
Prevalence,Indonesia,Both,All Ages,Mental disorders,Number,1990,20337182.7768,21933531.8935,18790152.9367
Prevalence,"Virgin Islands, U.S.",Both,All Ages,Substance use disorders,Number,1990,2767.76601358,2990.60029254,2544.40851637
Prevalence,Suriname,Both,All Ages,Substance use disorders,Number,1990,8389.10505002,9290.95054784,7595.12747564
Prevalence,Kiribati,Both,All Ages,Mental disorders,Number,1990,7639.77216983,8161.24586337,7150.07893913
Prevalence,Yemen,Both,All Ages,Substance use disorders,Number,1990,167687.004154,187365.595807,149158.66484
Prevalence,Moldova,Both,All Ages,Mental disorders,Number,1990,507271.398279,532262.66205,483099.792653
Prevalence,Paraguay,Both,All Ages,Substance use disorders,Number,1990,88967.4475411,100286.130855,79301.2402218
Prevalence,Coahuila,Both,All Ages,Mental disorders,Number,1990,196374.040442,206713.305971,186264.25042
Prevalence,United Arab Emirates,Both,All Ages,Substance use disorders,Number,1990,58413.9351758,65568.6027045,51196.3889516
Prevalence,Quintana Roo,Both,All Ages,Mental disorders,Number,1990,46543.4341635,49057.2245473,44153.6192163
Prevalence,Laos,Both,All Ages,Substance use disorders,Number,1990,52862.1020389,59295.9930524,47079.918616
Prevalence,Italy,Both,All Ages,Substance use disorders,Number,1990,928649.095809,1002704.91196,853126.744604
Prevalence,Bhutan,Both,All Ages,Mental disorders,Number,1990,60970.9967933,65259.1476035,56576.4782264
Prevalence,Russian Federation,Both,All Ages,Mental disorders,Number,1990,17655073.0066,18534419.2205,16855862.0571
Prevalence,Eastern Sub-Saharan Africa,Both,All Ages,Substance use disorders,Number,1990,2966674.86175,3298897.47999,2651785.79898
Prevalence,Niger,Both,All Ages,Substance use disorders,Number,1990,77927.5686847,87354.9001585,69521.2704161
Prevalence,West Virginia,Both,All Ages,Mental disorders,Number,1990,305610.925713,319451.580699,292824.533361
Prevalence,Cambodia,Both,All Ages,Substance use disorders,Number,1990,114758.537989,129083.261915,102095.998194
Prevalence,Hungary,Both,All Ages,Substance use disorders,Number,1990,324155.134626,349372.069371,299998.560688
Prevalence,Samoa,Both,All Ages,Substance use disorders,Number,1990,2760.10166443,3053.33856221,2475.25476686
Prevalence,Central Europe,Both,All Ages,Substance use disorders,Number,1990,3206403.06123,3418523.21426,3002514.36803
Prevalence,Canada,Both,All Ages,Mental disorders,Number,1990,4080180.87172,4237313.658,3928541.3392
Prevalence,Swaziland,Both,All Ages,Mental disorders,Number,1990,83472.1765285,88252.9727433,79016.2018973
Prevalence,Afghanistan,Both,All Ages,Mental disorders,Number,1990,1629497.87888,1792939.12752,1466722.72439
Prevalence,Central Latin America,Both,All Ages,Substance use disorders,Number,1990,3551230.40554,3871923.20934,3248688.49552
Prevalence,Papua New Guinea,Both,All Ages,Substance use disorders,Number,1990,68101.0912711,74783.3735793,60942.1734129
Prevalence,South Sudan,Both,All Ages,Mental disorders,Number,1990,635552.402478,674903.471226,598803.897011
Prevalence,High-income North America,Both,All Ages,Substance use disorders,Number,1990,11678640.0518,12638606.0306,10719470.1926
Prevalence,Zimbabwe,Both,All Ages,Substance use disorders,Number,1990,178111.872647,200353.490039,159061.063791
Prevalence,South Africa,Both,All Ages,Substance use disorders,Number,1990,970238.738366,1062128.65323,883747.974089
Prevalence,Bulgaria,Both,All Ages,Mental disorders,Number,1990,1049367.11425,1097986.49104,1003005.58284
Prevalence,Niger,Both,All Ages,Mental disorders,Number,1990,810639.143348,877007.783996,745395.877331
Prevalence,Comoros,Both,All Ages,Mental disorders,Number,1990,49009.5280092,51966.99501,46110.5820685
Prevalence,High-income,Both,All Ages,Mental disorders,Number,1990,134197917.713,139342979.356,129272561.985
Prevalence,Sao Tome and Principe,Both,All Ages,Substance use disorders,Number,1990,1260.8458722,1399.07001662,1128.09295204
Prevalence,Bhutan,Both,All Ages,Substance use disorders,Number,1990,11376.9965018,12821.1536828,10055.1161353
Prevalence,Brunei,Both,All Ages,Mental disorders,Number,1990,26530.9914807,27751.8465213,25325.7208442
Prevalence,Chiapas,Both,All Ages,Mental disorders,Number,1990,299560.555097,316474.040808,282526.445544
Prevalence,Mexico City,Both,All Ages,Mental disorders,Number,1990,825136.013508,867852.981431,783676.027105
Prevalence,Italy,Both,All Ages,Mental disorders,Number,1990,8689978.96998,9032025.32057,8375530.45156
Prevalence,Ireland,Both,All Ages,Substance use disorders,Number,1990,85539.2629678,95289.1627863,77144.417158
Prevalence,India,Both,All Ages,Mental disorders,Number,1990,125183278.353,139354148.358,111619533.574
Prevalence,Portugal,Both,All Ages,Substance use disorders,Number,1990,173262.780035,191269.223863,156293.138912
Prevalence,Latin America and Caribbean,Both,All Ages,Mental disorders,Number,1990,44804847.5274,46982658.0228,42696984.8576
Prevalence,Philippines,Both,All Ages,Substance use disorders,Number,1990,1000873.85036,1105574.84195,907885.181905
Prevalence,High SDI,Both,All Ages,Substance use disorders,Number,1990,27010276.1499,28930583.1076,25082333.1389
Prevalence,Chiapas,Both,All Ages,Substance use disorders,Number,1990,65908.845101,72606.751929,59697.3002886
Prevalence,Virginia,Both,All Ages,Mental disorders,Number,1990,1041247.85122,1088742.86217,996883.261946
Prevalence,Croatia,Both,All Ages,Substance use disorders,Number,1990,135253.162292,146157.134339,125156.2439
Prevalence,Federated States of Micronesia,Both,All Ages,Substance use disorders,Number,1990,1602.2200924,1763.6360408,1452.17679441
Prevalence,Netherlands,Both,All Ages,Mental disorders,Number,1990,2329364.57017,2421620.44398,2246967.32052
Prevalence,Caribbean,Both,All Ages,Mental disorders,Number,1990,4665804.8627,4895193.88086,4452980.25786
Prevalence,America,Both,All Ages,Substance use disorders,Number,1990,22596082.2279,24432402.267,20772828.1806
Prevalence,Wisconsin,Both,All Ages,Substance use disorders,Number,1990,223692.69973,243355.467949,202766.909344
Prevalence,Myanmar,Both,All Ages,Mental disorders,Number,1990,4714836.64129,5141788.95261,4276276.05506
Prevalence,Yemen,Both,All Ages,Mental disorders,Number,1990,1875644.14155,2057182.12441,1694655.98199
Prevalence,Burundi,Both,All Ages,Mental disorders,Number,1990,618732.401101,662426.80655,576789.679236
Prevalence,Nevada,Both,All Ages,Substance use disorders,Number,1990,61609.3468694,66945.2731885,56444.6384208
