measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Kenya,Female,90 to 94,Anxiety disorders,Number,2016,28.9092125029,38.9833435947,20.3688360309
YLDs (Years Lived with Disability),Kenya,Both,90 to 94,Anxiety disorders,Number,2016,33.5835611953,45.1429581762,24.0017329234
YLDs (Years Lived with Disability),Kenya,Male,90 to 94,Anxiety disorders,Percent,2016,0.00316657894643,0.00412020942184,0.00237740432869
YLDs (Years Lived with Disability),Kenya,Female,90 to 94,Anxiety disorders,Percent,2016,0.0090546771807,0.0115101405432,0.00700850433257
YLDs (Years Lived with Disability),Kenya,Both,90 to 94,Anxiety disorders,Percent,2016,0.00719236621392,0.00907285812514,0.00554665788656
YLDs (Years Lived with Disability),Kenya,Male,90 to 94,Anxiety disorders,Rate,2016,113.233479563,153.461288302,78.99639726859999
YLDs (Years Lived with Disability),Kenya,Female,90 to 94,Anxiety disorders,Rate,2016,316.285908454,426.503566715,222.84854032299998
YLDs (Years Lived with Disability),Kenya,Both,90 to 94,Anxiety disorders,Rate,2016,253.111687539,340.232242139,180.895619997
YLDs (Years Lived with Disability),Kenya,Male,<20 years,Anxiety disorders,Number,2016,19313.3557105,27311.3688355,12910.2128521
YLDs (Years Lived with Disability),Kenya,Female,<20 years,Anxiety disorders,Number,2016,34485.9587372,48516.0462759,23720.1567494
YLDs (Years Lived with Disability),Kenya,Both,<20 years,Anxiety disorders,Number,2016,53799.3144477,76113.1093629,36640.7533897
YLDs (Years Lived with Disability),Kenya,Male,<20 years,Anxiety disorders,Percent,2016,0.0285193340162,0.0373607137494,0.0210539125034
YLDs (Years Lived with Disability),Kenya,Female,<20 years,Anxiety disorders,Percent,2016,0.0509061230944,0.0662539036013,0.0381653301203
YLDs (Years Lived with Disability),Kenya,Both,<20 years,Anxiety disorders,Percent,2016,0.0397165885465,0.0515707525885,0.0298263525017
YLDs (Years Lived with Disability),Kenya,Male,<20 years,Anxiety disorders,Rate,2016,155.758604821,220.261086128,104.118454189
YLDs (Years Lived with Disability),Kenya,Female,<20 years,Anxiety disorders,Rate,2016,286.182695359,402.61177011800004,196.842385755
YLDs (Years Lived with Disability),Kenya,Both,<20 years,Anxiety disorders,Rate,2016,220.039237221,311.302675483,149.86070937600002
YLDs (Years Lived with Disability),Kenya,Male,10 to 24,Anxiety disorders,Number,2016,22432.2129266,31300.1557801,15109.8949491
YLDs (Years Lived with Disability),Kenya,Female,10 to 24,Anxiety disorders,Number,2016,41871.8744704,58410.5920501,28952.1382686
YLDs (Years Lived with Disability),Kenya,Both,10 to 24,Anxiety disorders,Number,2016,64304.087397,89508.8880117,44243.127857
YLDs (Years Lived with Disability),Kenya,Male,10 to 24,Anxiety disorders,Percent,2016,0.0420365287732,0.0536466548585,0.0322820289467
YLDs (Years Lived with Disability),Kenya,Female,10 to 24,Anxiety disorders,Percent,2016,0.0699449067398,0.0884368134618,0.0539096518547
YLDs (Years Lived with Disability),Kenya,Both,10 to 24,Anxiety disorders,Percent,2016,0.056794934378,0.0719562536099,0.0438814175388
YLDs (Years Lived with Disability),Kenya,Male,10 to 24,Anxiety disorders,Rate,2016,276.48349220200004,385.783444766,186.233811884
YLDs (Years Lived with Disability),Kenya,Female,10 to 24,Anxiety disorders,Rate,2016,520.905781635,726.655194984,360.17819611799996
YLDs (Years Lived with Disability),Kenya,Both,10 to 24,Anxiety disorders,Rate,2016,398.126253934,554.176876159,273.92272356300003
YLDs (Years Lived with Disability),Kenya,Male,95 plus,Anxiety disorders,Number,2016,0.641774923647,0.881015171501,0.441291464531
YLDs (Years Lived with Disability),Kenya,Female,95 plus,Anxiety disorders,Number,2016,4.27544242797,5.69668972047,2.99022984168
YLDs (Years Lived with Disability),Kenya,Both,95 plus,Anxiety disorders,Number,2016,4.91721735162,6.55386782981,3.46793917029
YLDs (Years Lived with Disability),Kenya,Male,95 plus,Anxiety disorders,Percent,2016,0.0023202522094,0.00306447816101,0.00169606139278
YLDs (Years Lived with Disability),Kenya,Female,95 plus,Anxiety disorders,Percent,2016,0.00714111852832,0.0090923289433,0.00554432776631
YLDs (Years Lived with Disability),Kenya,Both,95 plus,Anxiety disorders,Percent,2016,0.0056170832676,0.00714936635732,0.00434791267051
YLDs (Years Lived with Disability),Kenya,Male,95 plus,Anxiety disorders,Rate,2016,88.3002096913,121.216678182,60.71619101539999
YLDs (Years Lived with Disability),Kenya,Female,95 plus,Anxiety disorders,Rate,2016,269.877613611,359.59062790400003,188.751481844
YLDs (Years Lived with Disability),Kenya,Both,95 plus,Anxiety disorders,Rate,2016,212.772095453,283.591326507,150.06061994
YLDs (Years Lived with Disability),Angola,Male,Under 5,Mental disorders,Number,2016,3449.79926619,4866.65267855,2308.77504556
YLDs (Years Lived with Disability),Angola,Female,Under 5,Mental disorders,Number,2016,1711.39352734,2543.89866951,1055.26014688
YLDs (Years Lived with Disability),Angola,Both,Under 5,Mental disorders,Number,2016,5161.19279353,7207.27321779,3418.05120123
YLDs (Years Lived with Disability),Angola,Male,Under 5,Mental disorders,Percent,2016,0.0220549156982,0.0284145704136,0.0166254313257
YLDs (Years Lived with Disability),Angola,Female,Under 5,Mental disorders,Percent,2016,0.0106821600259,0.0144533843882,0.00756010069376
YLDs (Years Lived with Disability),Angola,Both,Under 5,Mental disorders,Percent,2016,0.0162913535896,0.0207295125688,0.0124914021337
YLDs (Years Lived with Disability),Angola,Male,Under 5,Mental disorders,Rate,2016,139.24359698199999,196.431783978,93.1886516176
YLDs (Years Lived with Disability),Angola,Female,Under 5,Mental disorders,Rate,2016,70.14069748969999,104.260548011,43.2493646568
YLDs (Years Lived with Disability),Angola,Both,Under 5,Mental disorders,Rate,2016,104.956225252,146.564606586,69.5083028574
YLDs (Years Lived with Disability),Angola,Male,1 to 4,Mental disorders,Number,2016,2816.0012239,4007.5494666,1853.6933787
YLDs (Years Lived with Disability),Angola,Female,1 to 4,Mental disorders,Number,2016,1438.1687636,2178.4911666,874.172528784
YLDs (Years Lived with Disability),Angola,Both,1 to 4,Mental disorders,Number,2016,4254.16998751,6057.74132958,2833.46246198
YLDs (Years Lived with Disability),Angola,Male,1 to 4,Mental disorders,Percent,2016,0.0232459139086,0.0305799894727,0.0172520497956
YLDs (Years Lived with Disability),Angola,Female,1 to 4,Mental disorders,Percent,2016,0.0112586480907,0.0153377877338,0.00783054789383
YLDs (Years Lived with Disability),Angola,Both,1 to 4,Mental disorders,Percent,2016,0.0170759282665,0.0219612036467,0.013019611752
YLDs (Years Lived with Disability),Angola,Male,1 to 4,Mental disorders,Rate,2016,143.089956318,203.63630287200002,94.1920416559
YLDs (Years Lived with Disability),Angola,Female,1 to 4,Mental disorders,Rate,2016,73.9384433394,111.99954397799999,44.942539168
YLDs (Years Lived with Disability),Angola,Both,1 to 4,Mental disorders,Rate,2016,108.716580885,154.80738362,72.4099769961
YLDs (Years Lived with Disability),Angola,Male,5 to 9,Mental disorders,Number,2016,11637.4136379,16584.5489844,7789.8417884
YLDs (Years Lived with Disability),Angola,Female,5 to 9,Mental disorders,Number,2016,8647.41036039,12542.2291139,5786.2082184
YLDs (Years Lived with Disability),Angola,Both,5 to 9,Mental disorders,Number,2016,20284.8239983,29008.3758216,13919.774773
YLDs (Years Lived with Disability),Angola,Male,5 to 9,Mental disorders,Percent,2016,0.0808236906708,0.129748358518,0.0404300533112
YLDs (Years Lived with Disability),Angola,Female,5 to 9,Mental disorders,Percent,2016,0.0552637275915,0.0874620053251,0.0311866980608
YLDs (Years Lived with Disability),Angola,Both,5 to 9,Mental disorders,Percent,2016,0.0656590869413,0.0951640614632,0.0424109517531
YLDs (Years Lived with Disability),Angola,Male,5 to 9,Mental disorders,Rate,2016,521.5984783580001,743.333165224,349.147134397
YLDs (Years Lived with Disability),Angola,Female,5 to 9,Mental disorders,Rate,2016,380.958230809,552.542924934,254.909106207
YLDs (Years Lived with Disability),Angola,Both,5 to 9,Mental disorders,Rate,2016,450.67210364000005,644.485047333,309.258496879
YLDs (Years Lived with Disability),Angola,Male,10 to 14,Mental disorders,Number,2016,22519.1052796,32475.419679,15160.7888335
YLDs (Years Lived with Disability),Angola,Female,10 to 14,Mental disorders,Number,2016,22041.6539787,31515.6936392,15054.32818
YLDs (Years Lived with Disability),Angola,Both,10 to 14,Mental disorders,Number,2016,44560.7592582,63354.7200239,30586.1936375
YLDs (Years Lived with Disability),Angola,Male,10 to 14,Mental disorders,Percent,2016,0.179582464649,0.258209742543,0.110252048948
YLDs (Years Lived with Disability),Angola,Female,10 to 14,Mental disorders,Percent,2016,0.191452691134,0.251742004977,0.135678077633
YLDs (Years Lived with Disability),Angola,Both,10 to 14,Mental disorders,Percent,2016,0.182992824737,0.241436076123,0.13073701377
YLDs (Years Lived with Disability),Angola,Male,10 to 14,Mental disorders,Rate,2016,1334.42619276,1924.41263107,898.390654118
YLDs (Years Lived with Disability),Angola,Female,10 to 14,Mental disorders,Rate,2016,1273.88626341,1821.4336023800001,870.057296605
YLDs (Years Lived with Disability),Angola,Both,10 to 14,Mental disorders,Rate,2016,1303.77788751,1853.65968649,894.904027474
YLDs (Years Lived with Disability),Angola,Male,15 to 19,Mental disorders,Number,2016,25108.3190723,34852.4680464,17497.2506725
YLDs (Years Lived with Disability),Angola,Female,15 to 19,Mental disorders,Number,2016,27236.8241747,37383.4184672,19122.3735893
YLDs (Years Lived with Disability),Angola,Both,15 to 19,Mental disorders,Number,2016,52345.143247,70890.0985034,36677.9799365
YLDs (Years Lived with Disability),Angola,Male,15 to 19,Mental disorders,Percent,2016,0.239772266094,0.293473733782,0.188120871249
YLDs (Years Lived with Disability),Angola,Female,15 to 19,Mental disorders,Percent,2016,0.217567376469,0.273418486972,0.164343092334
YLDs (Years Lived with Disability),Angola,Both,15 to 19,Mental disorders,Percent,2016,0.227073961656,0.275121041796,0.182256687056
YLDs (Years Lived with Disability),Angola,Male,15 to 19,Mental disorders,Rate,2016,1893.05571281,2627.72125647,1319.2149681
YLDs (Years Lived with Disability),Angola,Female,15 to 19,Mental disorders,Rate,2016,1967.77460784,2700.83403051,1381.5311561
YLDs (Years Lived with Disability),Angola,Both,15 to 19,Mental disorders,Rate,2016,1931.21191088,2615.4060167000002,1353.19052211
YLDs (Years Lived with Disability),Angola,Male,20 to 24,Mental disorders,Number,2016,20163.5877499,27630.829429,14266.2751107
YLDs (Years Lived with Disability),Angola,Female,20 to 24,Mental disorders,Number,2016,25146.3077444,33769.8967346,17517.4092134
YLDs (Years Lived with Disability),Angola,Both,20 to 24,Mental disorders,Number,2016,45309.8954944,61186.9947044,32034.8200561
YLDs (Years Lived with Disability),Angola,Male,20 to 24,Mental disorders,Percent,2016,0.20901352373,0.247664675907,0.170530189177
YLDs (Years Lived with Disability),Angola,Female,20 to 24,Mental disorders,Percent,2016,0.192676985296,0.23563475389,0.146127508345
YLDs (Years Lived with Disability),Angola,Both,20 to 24,Mental disorders,Percent,2016,0.199305651299,0.237732255255,0.158124639075
YLDs (Years Lived with Disability),Angola,Male,20 to 24,Mental disorders,Rate,2016,1855.97318166,2543.30127372,1313.15043414
YLDs (Years Lived with Disability),Angola,Female,20 to 24,Mental disorders,Rate,2016,2071.13245813,2781.39955757,1442.79133036
YLDs (Years Lived with Disability),Angola,Both,20 to 24,Mental disorders,Rate,2016,1969.52521387,2659.6690969300003,1392.48579441
YLDs (Years Lived with Disability),Angola,Male,25 to 29,Mental disorders,Number,2016,17600.5177419,23101.8094263,12702.0320376
YLDs (Years Lived with Disability),Angola,Female,25 to 29,Mental disorders,Number,2016,22664.8723894,29849.3750089,16080.7547543
YLDs (Years Lived with Disability),Angola,Both,25 to 29,Mental disorders,Number,2016,40265.3901313,52800.8764972,28794.2472771
YLDs (Years Lived with Disability),Angola,Male,25 to 29,Mental disorders,Percent,2016,0.182304038804,0.216547554871,0.14819719418
YLDs (Years Lived with Disability),Angola,Female,25 to 29,Mental disorders,Percent,2016,0.167610985199,0.205365028383,0.127947837519
YLDs (Years Lived with Disability),Angola,Both,25 to 29,Mental disorders,Percent,2016,0.173435589646,0.20658531955,0.139598126512
YLDs (Years Lived with Disability),Angola,Male,25 to 29,Mental disorders,Rate,2016,1849.9324923899999,2428.15515529,1335.06878209
YLDs (Years Lived with Disability),Angola,Female,25 to 29,Mental disorders,Rate,2016,2080.03516508,2739.38227436,1475.78750038
YLDs (Years Lived with Disability),Angola,Both,25 to 29,Mental disorders,Rate,2016,1972.7753726,2586.94299163,1410.7545392099998
YLDs (Years Lived with Disability),Angola,Male,30 to 34,Mental disorders,Number,2016,14488.1620668,18921.7297987,10600.1607089
YLDs (Years Lived with Disability),Angola,Female,30 to 34,Mental disorders,Number,2016,18532.7364809,24535.6251258,13370.0022293
YLDs (Years Lived with Disability),Angola,Both,30 to 34,Mental disorders,Number,2016,33020.8985477,43121.0000051,23991.2345129
YLDs (Years Lived with Disability),Angola,Male,30 to 34,Mental disorders,Percent,2016,0.166562203052,0.195943891807,0.13435118167
YLDs (Years Lived with Disability),Angola,Female,30 to 34,Mental disorders,Percent,2016,0.169076030246,0.20262701142,0.135338022516
YLDs (Years Lived with Disability),Angola,Both,30 to 34,Mental disorders,Percent,2016,0.167841954161,0.198511142291,0.137771280703
YLDs (Years Lived with Disability),Angola,Male,30 to 34,Mental disorders,Rate,2016,1903.2280374299999,2485.64079442,1392.48325422
YLDs (Years Lived with Disability),Angola,Female,30 to 34,Mental disorders,Rate,2016,2169.58353076,2872.32747548,1565.1944694200001
