COUNTRY,Country,ISC11A,ISCED-A 2011,SEX,Gender,AGE,Age,PIAAC_CATEGORY,Category,INDICATOR,Indicator,MEASURE,Measure,YEAR,Reference year,Value,Flag Codes,Flags
AUT,Austria,L0T2,Below upper secondary education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,6.5209,,
AUT,Austria,L0T2,Below upper secondary education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,8.8432,,
AUT,Austria,L0T2,Below upper secondary education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,2.7627,,
AUT,Austria,L0T2,Below upper secondary education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,12.8613,,
AUT,Austria,L0T2,Below upper secondary education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,12.2516,,
AUT,Austria,L0T2,Below upper secondary education,M,Men,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,13.8242,,
AUT,Austria,L0T2,Below upper secondary education,T,Total,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,12.045,,
AUT,Austria,L0T2,Below upper secondary education,F,Women,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,10.6757,,
AUT,Austria,L0T2,Below upper secondary education,M,Men,Y25T44,25-44 years,A,Active,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,VALUE,Value,2014,2014,13.7724,,
AUT,Austria,L0T2,Below upper secondary education,T,Total,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L0T2,Below upper secondary education,F,Women,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L0T2,Below upper secondary education,M,Men,Y25T44,25-44 years,E,Employed,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L0T2,Below upper secondary education,T,Total,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
AUT,Austria,L0T2,Below upper secondary education,F,Women,Y25T44,25-44 years,T,Total,PIAAC_PERC_DEPRESSED,Percentage of adults who report having depression,SE,SE,2014,2014,,c,Data below the publication limit
