"subregion","state","INC","PRE2","model"
"Afghanistan","Asia","113.214549","0.94946643","1990"
"Afghanistan","Asia","121.628321","0.9698362","1991"
"Afghanistan","Asia","132.822541","0.9933496","1992"
"Afghanistan","Asia","146.258179","1.02159181","1993"
"Afghanistan","Asia","160.391228","1.05127657","1994"
"Afghanistan","Asia","172.980563","1.07311058","1995"
"Afghanistan","Asia","182.105561","1.08455274","1996"
"Afghanistan","Asia","189.550998","1.09384984","1997"
"Afghanistan","Asia","195.827039","1.09999455","1998"
"Afghanistan","Asia","204.520318","1.11687818","1999"
"Afghanistan","Asia","215.36835","1.13833507","2000"
"Afghanistan","Asia","228.381597","1.16108967","2001"
"Afghanistan","Asia","241.29614","1.17347373","2002"
"Afghanistan","Asia","256.758624","1.19161396","2003"
"Afghanistan","Asia","271.600428","1.20494446","2004"
"Afghanistan","Asia","284.374292","1.21099642","2005"
"Afghanistan","Asia","293.694091","1.20934255","2006"
"Afghanistan","Asia","300.828448","1.20271488","2007"
"Afghanistan","Asia","307.975674","1.19844421","2008"
"Afghanistan","Asia","314.349122","1.19044643","2009"
"Afghanistan","Asia","320.626863","1.17955105","2010"
"Afghanistan","Asia","329.563897","1.17411345","2011"
"Afghanistan","Asia","341.71485","1.17541241","2012"
"Afghanistan","Asia","358.794984","1.18973197","2013"
"Afghanistan","Asia","374.660372","1.19832024","2014"
"Afghanistan","Asia","390.98476","1.20870755","2015"
"Afghanistan","Asia","407.342179","1.21952275","2016"
"Albania","Europe","17.1516647","0.52023804","1990"
"Albania","Europe","18.2191763","0.55333572","1991"
"Albania","Europe","18.9199925","0.579424","1992"
"Albania","Europe","20.5728475","0.63805563","1993"
"Albania","Europe","22.9008176","0.71953945","1994"
"Albania","Europe","25.5946516","0.81274556","1995"
"Albania","Europe","27.4094831","0.87512392","1996"
"Albania","Europe","28.8296769","0.92201568","1997"
"Albania","Europe","31.7507496","1.0146461","1998"
"Albania","Europe","33.1966142","1.05952538","1999"
"Albania","Europe","36.9355447","1.17839801","2000"
"Albania","Europe","41.434888","1.32340677","2001"
"Albania","Europe","44.2397521","1.41557461","2002"
"Albania","Europe","45.5880402","1.46257364","2003"
"Albania","Europe","45.6370396","1.47050144","2004"
"Albania","Europe","44.1315121","1.43095349","2005"
"Albania","Europe","44.152391","1.44590312","2006"
"Albania","Europe","45.5545591","1.50953058","2007"
"Albania","Europe","45.0065616","1.50928232","2008"
"Albania","Europe","42.2840051","1.43354718","2009"
"Albania","Europe","42.7397835","1.46218513","2010"
"Albania","Europe","42.8538865","1.47558837","2011"
"Albania","Europe","43.0335395","1.48739695","2012"
"Albania","Europe","43.3501441","1.50069625","2013"
"Albania","Europe","43.7485121","1.51433306","2014"
"Albania","Europe","44.2421575","1.52953437","2015"
"Albania","Europe","44.7151495","1.54624684","2016"
"Algeria","Africa","158.787519","0.61495082","1990"
"Algeria","Africa","165.285172","0.62287357","1991"
"Algeria","Africa","173.197349","0.63557661","1992"
"Algeria","Africa","181.845795","0.65022101","1993"
"Algeria","Africa","190.980443","0.6657929","1994"
"Algeria","Africa","200.343666","0.68130209","1995"
"Algeria","Africa","210.761458","0.7000228","1996"
"Algeria","Africa","222.301841","0.72132639","1997"
"Algeria","Africa","233.619244","0.74101598","1998"
"Algeria","Africa","246.575115","0.76549929","1999"
"Algeria","Africa","258.861234","0.78780872","2000"
"Algeria","Africa","273.159416","0.81547848","2001"
"Algeria","Africa","286.838192","0.84206508","2002"
"Algeria","Africa","299.884527","0.86740688","2003"
"Algeria","Africa","312.600809","0.89224822","2004"
"Algeria","Africa","324.346147","0.91451433","2005"
"Algeria","Africa","336.127209","0.93766725","2006"
"Algeria","Africa","348.345059","0.96250168","2007"
"Algeria","Africa","361.093493","0.98835575","2008"
"Algeria","Africa","374.900751","1.0161455","2009"
"Algeria","Africa","387.997448","1.04068629","2010"
"Algeria","Africa","401.094992","1.0657459","2011"
"Algeria","Africa","415.96446","1.09209862","2012"
"Algeria","Africa","432.623697","1.1203429","2013"
"Algeria","Africa","449.821927","1.14819398","2014"
"Algeria","Africa","464.563763","1.16895636","2015"
"Algeria","Africa","479.584371","1.18967481","2016"
"Andorra","Europe","1.45445168","2.92927412","1990"
"Andorra","Europe","1.59094771","2.99817562","1991"
"Andorra","Europe","1.72550753","3.07748255","1992"
"Andorra","Europe","1.83838285","3.13014584","1993"
"Andorra","Europe","1.91963998","3.19852037","1994"
"Andorra","Europe","1.92636124","3.22898089","1995"
"Andorra","Europe","1.96516429","3.27946881","1996"
"Andorra","Europe","2.00954105","3.31136248","1997"
"Andorra","Europe","2.07961574","3.38677182","1998"
"Andorra","Europe","2.11701373","3.42712967","1999"
"Andorra","Europe","2.13855267","3.46251536","2000"
"Andorra","Europe","2.15625274","3.48449644","2001"
"Andorra","Europe","2.18314472","3.4980783","2002"
"Andorra","Europe","2.29062082","3.53255854","2003"
"Andorra","Europe","2.4723076","3.5946454","2004"
"Andorra","Europe","2.55731786","3.5869194","2005"
"Andorra","Europe","2.62453108","3.58626618","2006"
"Andorra","Europe","2.70314232","3.58854705","2007"
"Andorra","Europe","2.76671213","3.59588792","2008"
"Andorra","Europe","2.8281325","3.62570399","2009"
"Andorra","Europe","2.8644398","3.6490525","2010"
"Andorra","Europe","2.89791178","3.68268447","2011"
"Andorra","Europe","2.93167615","3.71863438","2012"
"Andorra","Europe","2.96362319","3.75520263","2013"
"Andorra","Europe","3.01829377","3.82303983","2014"
"Andorra","Europe","3.04768031","3.86094859","2015"
"Andorra","Europe","3.08076755","3.89609472","2016"
"Angola","Africa","194.502945","1.76048737","1990"
"Angola","Africa","196.313745","1.72684213","1991"
"Angola","Africa","200.093351","1.70554099","1992"
"Angola","Africa","209.209188","1.72535398","1993"
"Angola","Africa","218.948393","1.74717259","1994"
"Angola","Africa","223.69748","1.7291048","1995"
"Angola","Africa","216.942108","1.62868782","1996"
"Angola","Africa","216.161164","1.57675745","1997"
"Angola","Africa","239.623758","1.69836239","1998"
"Angola","Africa","224.514322","1.54532416","1999"
"Angola","Africa","217.325032","1.45139192","2000"
"Angola","Africa","216.487386","1.40142278","2001"
"Angola","Africa","217.127537","1.35900192","2002"
"Angola","Africa","225.561085","1.3627995","2003"
"Angola","Africa","232.561858","1.35570888","2004"
"Angola","Africa","237.801785","1.33809851","2005"
"Angola","Africa","244.14015","1.32785203","2006"
"Angola","Africa","249.121681","1.30926009","2007"
"Angola","Africa","256.470246","1.30201019","2008"
"Angola","Africa","263.788238","1.29330191","2009"
"Angola","Africa","269.930346","1.27803988","2010"
"Angola","Africa","277.587409","1.2700161","2011"
"Angola","Africa","286.83345","1.26736467","2012"
"Angola","Africa","297.535873","1.2696318","2013"
"Angola","Africa","309.35535","1.27554529","2014"
"Angola","Africa","322.654508","1.2867452","2015"
"Angola","Africa","331.497243","1.27983327","2016"
"Antigua and Barbuda","North America","4.27192925","7.01399416","1990"
"Antigua and Barbuda","North America","4.21553904","6.83201603","1991"
"Antigua and Barbuda","North America","4.207274","6.69826177","1992"
"Antigua and Barbuda","North America","4.18118529","6.51427678","1993"
"Antigua and Barbuda","North America","4.21678626","6.41305297","1994"
"Antigua and Barbuda","North America","4.30061988","6.37663091","1995"
"Antigua and Barbuda","North America","4.50261274","6.50456029","1996"
"Antigua and Barbuda","North America","4.48342993","6.30959615","1997"
"Antigua and Barbuda","North America","4.3930163","6.03050204","1998"
"Antigua and Barbuda","North America","4.28536304","5.74683641","1999"
"Antigua and Barbuda","North America","4.21513074","5.53135405","2000"
"Antigua and Barbuda","North America","4.02678537","5.19628053","2001"
"Antigua and Barbuda","North America","4.12700208","5.25060203","2002"
"Antigua and Barbuda","North America","4.30234908","5.40656003","2003"
"Antigua and Barbuda","North America","4.4910783","5.57962594","2004"
"Antigua and Barbuda","North America","4.54400859","5.58221246","2005"
"Antigua and Barbuda","North America","4.61843344","5.60506364","2006"
"Antigua and Barbuda","North America","4.57522057","5.48548003","2007"
"Antigua and Barbuda","North America","4.68187286","5.54893568","2008"
"Antigua and Barbuda","North America","4.71397515","5.52375485","2009"
"Antigua and Barbuda","North America","4.69762749","5.4438144","2010"
"Antigua and Barbuda","North America","4.65531552","5.34101537","2011"
"Antigua and Barbuda","North America","4.56013346","5.17963312","2012"
"Antigua and Barbuda","North America","4.55728045","5.1246966","2013"
"Antigua and Barbuda","North America","4.44638143","4.95131616","2014"
"Antigua and Barbuda","North America","4.77814405","5.26953853","2015"
"Antigua and Barbuda","North America","4.97851904","5.4397393","2016"
"Argentina","South America","1384.23185","4.28872164","1990"
"Argentina","South America","1435.29333","4.39502809","1991"
"Argentina","South America","1484.05713","4.48619124","1992"
"Argentina","South America","1518.0633","4.52684099","1993"
"Argentina","South America","1568.97831","4.61674362","1994"
"Argentina","South America","1605.14305","4.66465043","1995"
"Argentina","South America","1615.2562","4.6399315","1996"
"Argentina","South America","1629.99929","4.62390343","1997"
"Argentina","South America","1549.09994","4.33561706","1998"
"Argentina","South America","1508.76594","4.16368948","1999"
"Argentina","South America","1444.95362","3.93098117","2000"
"Argentina","South America","1424.68046","3.82302741","2001"
"Argentina","South America","1405.62428","3.72575351","2002"
"Argentina","South America","1416.43541","3.71211779","2003"
"Argentina","South America","1410.951","3.65777538","2004"
"Argentina","South America","1425.14234","3.65446655","2005"
"Argentina","South America","1440.60456","3.65865786","2006"
"Argentina","South America","1489.75543","3.74437644","2007"
"Argentina","South America","1483.90259","3.68899492","2008"
"Argentina","South America","1480.25889","3.63886925","2009"
"Argentina","South America","1470.76193","3.57521183","2010"
"Argentina","South America","1474.76079","3.54581078","2011"
"Argentina","South America","1481.38023","3.52437613","2012"
"Argentina","South America","1496.68014","3.52569421","2013"
"Argentina","South America","1516.22118","3.53711571","2014"
"Argentina","South America","1577.57377","3.64430169","2015"
"Argentina","South America","1631.93081","3.73501957","2016"
"Armenia","Europe","115.746288","3.24717243","1990"
"Armenia","Europe","117.879438","3.33978375","1991"
"Armenia","Europe","122.193947","3.52473099","1992"
"Armenia","Europe","121.757206","3.59631586","1993"
"Armenia","Europe","119.04601","3.60452037","1994"
"Armenia","Europe","116.196382","3.59719888","1995"
"Armenia","Europe","110.54186","3.47703517","1996"
"Armenia","Europe","106.239665","3.3812564","1997"
"Armenia","Europe","102.459671","3.28722122","1998"
"Armenia","Europe","98.7355753","3.18727476","1999"
"Armenia","Europe","93.8718869","3.04777084","2000"
"Armenia","Europe","92.2399664","3.01070948","2001"
"Armenia","Europe","93.1259175","3.05682915","2002"
"Armenia","Europe","90.4442973","2.98352373","2003"
"Armenia","Europe","92.5345794","3.06835317","2004"
"Armenia","Europe","94.7418194","3.15716339","2005"
"Armenia","Europe","96.8516384","3.25056896","2006"
"Armenia","Europe","96.3713523","3.2534814","2007"
"Armenia","Europe","98.0385868","3.3236895","2008"
"Armenia","Europe","98.12702","3.3326768","2009"
"Armenia","Europe","97.684555","3.31570055","2010"
"Armenia","Europe","97.5984694","3.30360599","2011"
"Armenia","Europe","97.8279373","3.29433106","2012"
"Armenia","Europe","95.3992304","3.19009269","2013"
"Armenia","Europe","94.0212696","3.12222139","2014"
"Armenia","Europe","94.9656045","3.13556241","2015"
"Armenia","Europe","97.2658911","3.19660383","2016"
"Australia","Oceania","720.730982","4.23484828","1990"
"Australia","Oceania","743.441913","4.31094379","1991"
"Australia","Oceania","790.345265","4.5298328","1992"
"Australia","Oceania","842.992755","4.78352449","1993"
"Australia","Oceania","919.110795","5.16384471","1994"
"Australia","Oceania","1006.50344","5.59324129","1995"
"Australia","Oceania","1068.38599","5.86988786","1996"
"Australia","Oceania","1174.89524","6.38823321","1997"
"Australia","Oceania","1273.33322","6.85451663","1998"
"Australia","Oceania","1306.95131","6.96202411","1999"
"Australia","Oceania","1261.83326","6.64574865","2000"
"Australia","Oceania","1159.41821","6.03359674","2001"
"Australia","Oceania","1125.14594","5.78713276","2002"
"Australia","Oceania","1124.99028","5.72022983","2003"
"Australia","Oceania","1122.28957","5.64113662","2004"
"Australia","Oceania","1131.90723","5.61948619","2005"
"Australia","Oceania","1154.02519","5.64741865","2006"
"Australia","Oceania","1199.30378","5.76856728","2007"
"Australia","Oceania","1259.35677","5.94067828","2008"
"Australia","Oceania","1305.4793","6.04133158","2009"
"Australia","Oceania","1336.93287","6.08291324","2010"
"Australia","Oceania","1365.09094","6.11382035","2011"
"Australia","Oceania","1387.51484","6.11333445","2012"
"Australia","Oceania","1418.94293","6.15432264","2013"
"Australia","Oceania","1472.05043","6.2886338","2014"
"Australia","Oceania","1502.90156","6.32635766","2015"
"Australia","Oceania","1539.48892","6.38750062","2016"
"Austria","Europe","279.73094","3.6501915","1990"
"Austria","Europe","304.380833","3.93309063","1991"
"Austria","Europe","328.559979","4.20028437","1992"
"Austria","Europe","347.312728","4.40313214","1993"
"Austria","Europe","369.518433","4.66520056","1994"
"Austria","Europe","399.176428","5.03051019","1995"
"Austria","Europe","420.606766","5.29283425","1996"
"Austria","Europe","425.464523","5.34723097","1997"
"Austria","Europe","435.684654","5.46923429","1998"
"Austria","Europe","449.62617","5.63325661","1999"
"Austria","Europe","469.329017","5.86627148","2000"
"Austria","Europe","485.878557","6.04940721","2001"
"Austria","Europe","498.701843","6.1776957","2002"
"Austria","Europe","533.576777","6.57692425","2003"
"Austria","Europe","555.465816","6.80468535","2004"
"Austria","Europe","569.116466","6.92534216","2005"
"Austria","Europe","585.219111","7.08586697","2006"
"Austria","Europe","602.470186","7.26990964","2007"
"Austria","Europe","621.20939","7.47192877","2008"
"Austria","Europe","636.525754","7.63598972","2009"
"Austria","Europe","636.374414","7.61472531","2010"
"Austria","Europe","638.994826","7.6202785","2011"
"Austria","Europe","637.017165","7.5628876","2012"
"Austria","Europe","633.251381","7.47459931","2013"
"Austria","Europe","624.950806","7.3198039","2014"
"Austria","Europe","628.004882","7.29017052","2015"
