measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Belgium,Both,All Ages,Alcohol use disorders,Number,1990,249.725572018,269.473089945,229.290230293
Deaths,Belgium,Both,All Ages,Drug use disorders,Number,1990,87.0815191842,102.655205931,73.0687359958
Deaths,Belgium,Both,All Ages,Eating disorders,Number,1990,3.00406505554,3.72236552053,2.39681438194
Deaths,Cyprus,Both,All Ages,Alcohol use disorders,Number,1990,5.45854577043,7.33732729114,4.02370490479
Deaths,Cyprus,Both,All Ages,Drug use disorders,Number,1990,9.80533204427,14.9912940778,7.2451822714
Deaths,Denmark,Both,All Ages,Drug use disorders,Number,1990,197.305852854,225.283586482,173.488739593
Deaths,Denmark,Both,All Ages,Eating disorders,Number,1990,0.973225422291,1.26249191707,0.740749113495
Deaths,Cyprus,Both,All Ages,Eating disorders,Number,1990,0.240316255015,0.392767937506,0.158158294157
Deaths,Denmark,Both,All Ages,Alcohol use disorders,Number,1990,339.77398427,382.494488799,302.503784282
Deaths,Madagascar,Both,All Ages,Eating disorders,Number,1992,0.39456189465,0.77820046655,0.210746085119
Deaths,Finland,Both,All Ages,Eating disorders,Number,1990,0.92344768175,1.17779208918,0.666218282451
Deaths,Finland,Both,All Ages,Alcohol use disorders,Number,1990,250.285307333,274.900606164,227.039764703
Deaths,Finland,Both,All Ages,Drug use disorders,Number,1990,162.829279564,191.22720524,139.808974327
Deaths,Hungary,Both,All Ages,Alcohol use disorders,Number,1990,874.5829711,959.877287457,801.044769208
Deaths,Hungary,Both,All Ages,Drug use disorders,Number,1990,18.8728917049,20.5908431189,17.1376744877
Deaths,Hungary,Both,All Ages,Eating disorders,Number,1990,0.44557822826,0.53159468251,0.370255479709
Deaths,Croatia,Both,All Ages,Alcohol use disorders,Number,1990,284.396862006,316.866363441,254.956023671
Deaths,Croatia,Both,All Ages,Drug use disorders,Number,1990,21.4943930101,24.005245221,18.8467210841
Deaths,Croatia,Both,All Ages,Eating disorders,Number,1990,0.166822889007,0.203723879374,0.136742373719
Deaths,Germany,Both,All Ages,Alcohol use disorders,Number,1990,5217.13577651,5659.00207306,4786.16703015
Deaths,Germany,Both,All Ages,Drug use disorders,Number,1990,1556.86605074,1812.02332027,1335.27142819
Deaths,Germany,Both,All Ages,Eating disorders,Number,1990,23.0848075053,29.5029677922,17.2971252417
Deaths,France,Both,All Ages,Alcohol use disorders,Number,1990,3040.91358574,3237.3934774,2853.00994895
Deaths,France,Both,All Ages,Drug use disorders,Number,1990,517.065710482,562.300026448,463.881204324
Deaths,France,Both,All Ages,Eating disorders,Number,1990,16.9236017603,20.084893432,14.0001375614
Deaths,Fiji,Both,All Ages,Alcohol use disorders,Number,1993,1.38567330275,2.27283531426,0.952139389381
Deaths,Fiji,Both,All Ages,Drug use disorders,Number,1993,3.60038291291,4.94318410628,2.40560977698
Deaths,Fiji,Both,All Ages,Eating disorders,Number,1993,0.0798385589803,0.127112419833,0.0400916010693
Deaths,Czech Republic,Both,All Ages,Alcohol use disorders,Number,1990,248.539327166,268.284363652,230.584116041
Deaths,Czech Republic,Both,All Ages,Drug use disorders,Number,1990,42.2204034816,45.5183353756,38.9801576101
Deaths,Czech Republic,Both,All Ages,Eating disorders,Number,1990,0.408181498166,0.484354487951,0.342857333015
Deaths,Uruguay,Both,All Ages,Drug use disorders,Number,1991,7.1104090501,7.75627996495,6.49116820532
Deaths,Uruguay,Both,All Ages,Eating disorders,Number,1991,0.460907025823,0.634513899839,0.317133333506
Deaths,China,Both,All Ages,Alcohol use disorders,Number,1992,11335.5285216,16876.1054664,9941.23453415
Deaths,China,Both,All Ages,Drug use disorders,Number,1992,39942.2187638,45290.1264411,20022.2137702
Deaths,Burundi,Both,All Ages,Alcohol use disorders,Number,1993,106.693401425,181.290113021,58.7101528466
Deaths,Burundi,Both,All Ages,Drug use disorders,Number,1993,13.2726703664,24.3296659806,6.24913842049
