,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),Africa,Male,25 to 29,Idiopathic developmental intellectual disability,Number,1990,13161.153196589492,23102.09430426047,5601.42151749991
1,1,DALYs (Disability-Adjusted Life Years),Africa,Female,10 to 14,Eating disorders,Number,1990,7278.009263220593,11419.556129289858,4305.804630195551
2,2,DALYs (Disability-Adjusted Life Years),Africa,Male,10 to 14,Eating disorders,Number,1990,3541.5726237892686,5905.118619506535,1929.7123185573193
3,3,DALYs (Disability-Adjusted Life Years),Africa,Both,05 to 09,Eating disorders,Number,1990,1106.5443898152332,2079.631635588139,498.48704797101266
4,4,DALYs (Disability-Adjusted Life Years),Africa,Female,05 to 09,Eating disorders,Number,1990,760.8177119451935,1435.7137137555633,344.70953135145066
5,5,DALYs (Disability-Adjusted Life Years),Africa,Male,05 to 09,Eating disorders,Number,1990,345.72667787003974,654.7457496480298,149.53090894999866
6,6,DALYs (Disability-Adjusted Life Years),Africa,Both,01 to 04,Eating disorders,Number,1990,0.0,0.0,0.0
7,7,DALYs (Disability-Adjusted Life Years),Africa,Female,01 to 04,Eating disorders,Number,1990,0.0,0.0,0.0
8,8,DALYs (Disability-Adjusted Life Years),Africa,Male,01 to 04,Eating disorders,Number,1990,0.0,0.0,0.0
9,9,DALYs (Disability-Adjusted Life Years),Africa,Both,95 plus,Anxiety disorders,Number,1990,63.02650937983654,82.32162143002141,45.53590124543382
10,10,DALYs (Disability-Adjusted Life Years),Africa,Female,95 plus,Anxiety disorders,Number,1990,50.012783187993705,65.28842731650211,36.23698386724028
11,11,DALYs (Disability-Adjusted Life Years),Africa,Male,95 plus,Anxiety disorders,Number,1990,13.013726191842835,17.313359380761682,9.29691002059602
12,12,DALYs (Disability-Adjusted Life Years),Africa,Both,90 to 94,Anxiety disorders,Number,1990,420.3558570053115,550.852780818779,303.9223274866331
13,13,DALYs (Disability-Adjusted Life Years),Africa,Female,90 to 94,Anxiety disorders,Number,1990,313.01562688669605,408.23927042636217,226.6748693917591
14,14,DALYs (Disability-Adjusted Life Years),Africa,Male,90 to 94,Anxiety disorders,Number,1990,107.3402301186155,141.74865292808013,76.87706254692063
15,15,DALYs (Disability-Adjusted Life Years),Africa,Both,85 to 89,Anxiety disorders,Number,1990,1749.5514508619904,2316.846802132527,1264.396592699712
16,16,DALYs (Disability-Adjusted Life Years),Africa,Female,85 to 89,Anxiety disorders,Number,1990,1241.0525700931805,1640.627967252623,891.7922415211842
17,17,DALYs (Disability-Adjusted Life Years),Africa,Male,85 to 89,Anxiety disorders,Number,1990,508.49888076881035,677.457348791522,367.28012585167227
18,18,DALYs (Disability-Adjusted Life Years),Africa,Both,80 to 84,Anxiety disorders,Number,1990,4801.6171704038425,6310.295551630584,3464.074482384
19,19,DALYs (Disability-Adjusted Life Years),Africa,Female,80 to 84,Anxiety disorders,Number,1990,3284.1850304982677,4312.160836581157,2346.0958531577553
20,20,DALYs (Disability-Adjusted Life Years),Africa,Male,80 to 84,Anxiety disorders,Number,1990,1517.4321399055732,2009.080534453631,1099.8357993142529
21,21,DALYs (Disability-Adjusted Life Years),Africa,Both,All Ages,Anxiety disorders,Number,1990,1892289.5494269028,2526440.8695338247,1331000.8698708618
22,22,DALYs (Disability-Adjusted Life Years),Africa,Female,All Ages,Anxiety disorders,Number,1990,1171468.7331208887,1563197.339555243,826405.4732387784
23,23,DALYs (Disability-Adjusted Life Years),Africa,Male,All Ages,Anxiety disorders,Number,1990,720820.8163060142,956254.3706571388,508867.9592392107
24,24,DALYs (Disability-Adjusted Life Years),Africa,Both,75 to 79,Anxiety disorders,Number,1990,10189.789122306904,13438.359058570257,7232.29320625658
25,25,DALYs (Disability-Adjusted Life Years),Africa,Female,75 to 79,Anxiety disorders,Number,1990,6800.488989707664,8950.305011627623,4806.52921961097
26,26,DALYs (Disability-Adjusted Life Years),Africa,Both,10 to 14,Eating disorders,Number,1990,10819.581887009865,17108.622800439964,6331.37955755521
27,27,DALYs (Disability-Adjusted Life Years),Africa,Male,15 to 19,Eating disorders,Number,1990,9983.329696162275,16988.10591011758,5274.860782831518
28,28,DALYs (Disability-Adjusted Life Years),Africa,Female,15 to 19,Eating disorders,Number,1990,22252.632449438188,36113.08761881411,12701.150280271564
29,29,DALYs (Disability-Adjusted Life Years),Africa,Both,15 to 19,Eating disorders,Number,1990,32235.962145600468,53289.88049041714,18195.920170925983
30,30,DALYs (Disability-Adjusted Life Years),Africa,Female,60 to 64,Eating disorders,Number,1990,0.0,0.0,0.0
31,31,DALYs (Disability-Adjusted Life Years),Africa,Male,60 to 64,Eating disorders,Number,1990,0.0,0.0,0.0
32,32,DALYs (Disability-Adjusted Life Years),Africa,Both,55 to 59,Eating disorders,Number,1990,0.0,0.0,0.0
33,33,DALYs (Disability-Adjusted Life Years),Africa,Female,55 to 59,Eating disorders,Number,1990,0.0,0.0,0.0
34,34,DALYs (Disability-Adjusted Life Years),Africa,Male,55 to 59,Eating disorders,Number,1990,0.0,0.0,0.0
35,35,DALYs (Disability-Adjusted Life Years),Africa,Both,50 to 54,Eating disorders,Number,1990,0.0,0.0,0.0
36,36,DALYs (Disability-Adjusted Life Years),Africa,Female,50 to 54,Eating disorders,Number,1990,0.0,0.0,0.0
37,37,DALYs (Disability-Adjusted Life Years),Africa,Male,50 to 54,Eating disorders,Number,1990,0.0,0.0,0.0
38,38,DALYs (Disability-Adjusted Life Years),Africa,Both,45 to 49,Eating disorders,Number,1990,4255.318691183857,6756.869225002673,2420.024615462253
39,39,DALYs (Disability-Adjusted Life Years),Africa,Female,45 to 49,Eating disorders,Number,1990,3240.5246429571007,5094.009476419692,1865.9750587339329
40,40,DALYs (Disability-Adjusted Life Years),Africa,Male,45 to 49,Eating disorders,Number,1990,1014.7940482267552,1691.802683776209,547.8330315555727
41,41,DALYs (Disability-Adjusted Life Years),Africa,Both,40 to 44,Eating disorders,Number,1990,8495.51134278259,13290.816648159764,5014.074407174771
42,42,DALYs (Disability-Adjusted Life Years),Africa,Male,75 to 79,Anxiety disorders,Number,1990,3389.30013259924,4461.022545626021,2413.0899786757973
43,43,DALYs (Disability-Adjusted Life Years),Africa,Female,40 to 44,Eating disorders,Number,1990,6017.9546131600855,9319.53780479947,3597.006812678126
44,44,DALYs (Disability-Adjusted Life Years),Africa,Both,35 to 39,Eating disorders,Number,1990,17778.46672524126,27814.05389735961,10638.86452421899
45,45,DALYs (Disability-Adjusted Life Years),Africa,Female,35 to 39,Eating disorders,Number,1990,11721.541474525084,18392.5032068402,7141.798427558327
46,46,DALYs (Disability-Adjusted Life Years),Africa,Male,35 to 39,Eating disorders,Number,1990,6056.9252507161755,9659.423035280925,3428.471923352848
47,47,DALYs (Disability-Adjusted Life Years),Africa,Both,30 to 34,Eating disorders,Number,1990,25656.936121057784,39454.52157911936,15644.900041711697
48,48,DALYs (Disability-Adjusted Life Years),Africa,Female,30 to 34,Eating disorders,Number,1990,16764.814634929942,25493.62022423074,10334.2848780041
49,49,DALYs (Disability-Adjusted Life Years),Africa,Male,30 to 34,Eating disorders,Number,1990,8892.121486127846,13965.907574768735,5042.593973079373
50,50,DALYs (Disability-Adjusted Life Years),Africa,Both,25 to 29,Eating disorders,Number,1990,28257.25572858164,43243.2479258422,17080.390695485294
51,51,DALYs (Disability-Adjusted Life Years),Africa,Female,25 to 29,Eating disorders,Number,1990,19112.225881671508,29273.16345938765,11563.529486458836
