,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),Africa,Male,25 to 29,Idiopathic developmental intellectual disability,Rate,1990,57.72104360953814,101.31916047853849,24.566228419163213
1,1,DALYs (Disability-Adjusted Life Years),Africa,Female,10 to 14,Eating disorders,Rate,1990,18.510365023645704,29.043677290900842,10.951073644299607
2,2,DALYs (Disability-Adjusted Life Years),Africa,Male,10 to 14,Eating disorders,Rate,1990,8.952057041116632,14.926408218002939,4.877746860994045
3,3,DALYs (Disability-Adjusted Life Years),Africa,Both,05 to 09,Eating disorders,Rate,1990,1.20867939468464,2.2715834354276683,0.5444978339281463
4,4,DALYs (Disability-Adjusted Life Years),Africa,Female,05 to 09,Eating disorders,Rate,1990,1.6724036417015669,3.1559370998169545,0.7577287785368161
5,5,DALYs (Disability-Adjusted Life Years),Africa,Male,05 to 09,Eating disorders,Rate,1990,0.7506430831554206,1.4215864717950812,0.3246620804988982
6,6,DALYs (Disability-Adjusted Life Years),Africa,Both,01 to 04,Eating disorders,Rate,1990,0.0,0.0,0.0
7,7,DALYs (Disability-Adjusted Life Years),Africa,Female,01 to 04,Eating disorders,Rate,1990,0.0,0.0,0.0
8,8,DALYs (Disability-Adjusted Life Years),Africa,Male,01 to 04,Eating disorders,Rate,1990,0.0,0.0,0.0
9,9,DALYs (Disability-Adjusted Life Years),Africa,Both,95 plus,Anxiety disorders,Rate,1990,193.07109167770162,252.1784162658625,139.4915607811933
10,10,DALYs (Disability-Adjusted Life Years),Africa,Female,95 plus,Anxiety disorders,Rate,1990,244.8046481828114,319.5765054615532,177.37429355772338
11,11,DALYs (Disability-Adjusted Life Years),Africa,Male,95 plus,Anxiety disorders,Rate,1990,106.5430186684332,141.74399741666718,76.11354682596412
12,12,DALYs (Disability-Adjusted Life Years),Africa,Both,90 to 94,Anxiety disorders,Rate,1990,220.446920026378,288.8833280082759,159.38576780870184
13,13,DALYs (Disability-Adjusted Life Years),Africa,Female,90 to 94,Anxiety disorders,Rate,1990,281.1219665285741,366.6431214886003,203.5786062179103
