,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),America,Male,01 to 04,Depressive disorders,Number,1990,75.38895513240847,151.24972002011998,33.08988027726652
1,1,DALYs (Disability-Adjusted Life Years),America,Both,85 to 89,Attention-deficit/hyperactivity disorder,Number,1990,0.11563361440212135,0.3080072054094852,0.02638372364505325
2,2,DALYs (Disability-Adjusted Life Years),America,Male,90 to 94,Attention-deficit/hyperactivity disorder,Number,1990,0.00035052395701133,0.0014682876228200095,2.3983436653388835e-05
3,3,DALYs (Disability-Adjusted Life Years),America,Female,90 to 94,Attention-deficit/hyperactivity disorder,Number,1990,0.001953641752557313,0.00733527854923996,0.0002155315035523138
4,4,DALYs (Disability-Adjusted Life Years),America,Both,90 to 94,Attention-deficit/hyperactivity disorder,Number,1990,0.0023041657095686434,0.008951784832874284,0.00024688760318900303
5,5,DALYs (Disability-Adjusted Life Years),America,Male,95 plus,Attention-deficit/hyperactivity disorder,Number,1990,1.5539283790942722e-06,9.785673210363048e-06,1.093749935183018e-08
6,6,DALYs (Disability-Adjusted Life Years),America,Female,95 plus,Attention-deficit/hyperactivity disorder,Number,1990,2.3482002520865616e-05,0.0001138654579371854,6.53860775250404e-07
7,7,DALYs (Disability-Adjusted Life Years),America,Both,95 plus,Attention-deficit/hyperactivity disorder,Number,1990,2.503593089995989e-05,0.00012345515529325933,6.618020215762614e-07
8,8,DALYs (Disability-Adjusted Life Years),America,Male,01 to 04,Conduct disorder,Number,1990,0.0,0.0,0.0
9,9,DALYs (Disability-Adjusted Life Years),America,Female,01 to 04,Conduct disorder,Number,1990,0.0,0.0,0.0
10,10,DALYs (Disability-Adjusted Life Years),America,Both,01 to 04,Conduct disorder,Number,1990,0.0,0.0,0.0
11,11,DALYs (Disability-Adjusted Life Years),America,Male,05 to 09,Conduct disorder,Number,1990,82465.51415053112,136831.63950906767,46710.62194450137
12,12,DALYs (Disability-Adjusted Life Years),America,Female,05 to 09,Conduct disorder,Number,1990,42265.17703508482,71225.10615975171,23209.364431272214
13,13,DALYs (Disability-Adjusted Life Years),America,Both,05 to 09,Conduct disorder,Number,1990,124730.69118561591,205143.2321603316,70550.74587460885
14,14,DALYs (Disability-Adjusted Life Years),America,Male,10 to 14,Conduct disorder,Number,1990,205566.02250411198,328064.3202539117,117674.96390154348
15,15,DALYs (Disability-Adjusted Life Years),America,Female,10 to 14,Conduct disorder,Number,1990,138370.6035006448,236579.2416601588,77513.40018612843
16,16,DALYs (Disability-Adjusted Life Years),America,Both,10 to 14,Conduct disorder,Number,1990,343936.6260047568,567676.8111027746,197637.88837193133
17,17,DALYs (Disability-Adjusted Life Years),America,Male,15 to 19,Conduct disorder,Number,1990,161434.3110193876,261623.5240165544,95273.7273351433
18,18,DALYs (Disability-Adjusted Life Years),America,Female,15 to 19,Conduct disorder,Number,1990,96789.209401327,158119.02534947963,53697.919419120284
19,19,DALYs (Disability-Adjusted Life Years),America,Both,15 to 19,Conduct disorder,Number,1990,258223.52042071449,414134.602858496,148493.2672615774
20,20,DALYs (Disability-Adjusted Life Years),America,Male,20 to 24,Conduct disorder,Number,1990,29437.423896591034,48879.07408173938,15961.933378064785
21,21,DALYs (Disability-Adjusted Life Years),America,Female,20 to 24,Conduct disorder,Number,1990,10803.466237637049,18654.31082479009,5153.235693837473
22,22,DALYs (Disability-Adjusted Life Years),America,Both,20 to 24,Conduct disorder,Number,1990,40240.89013422809,67039.38594245519,21734.66472162669
23,23,DALYs (Disability-Adjusted Life Years),America,Male,25 to 29,Conduct disorder,Number,1990,0.0,0.0,0.0
24,24,DALYs (Disability-Adjusted Life Years),America,Female,25 to 29,Conduct disorder,Number,1990,0.0,0.0,0.0
25,25,DALYs (Disability-Adjusted Life Years),America,Both,25 to 29,Conduct disorder,Number,1990,0.0,0.0,0.0
26,26,DALYs (Disability-Adjusted Life Years),America,Female,85 to 89,Attention-deficit/hyperactivity disorder,Number,1990,0.08309168161563309,0.21747143389816045,0.01943041758424924
27,27,DALYs (Disability-Adjusted Life Years),America,Male,85 to 89,Attention-deficit/hyperactivity disorder,Number,1990,0.0325419327864883,0.08940250821364894,0.0072710082383397765
28,28,DALYs (Disability-Adjusted Life Years),America,Both,80 to 84,Attention-deficit/hyperactivity disorder,Number,1990,2.5694922004149783,5.733277027466055,0.8902861944925771
29,29,DALYs (Disability-Adjusted Life Years),America,Female,80 to 84,Attention-deficit/hyperactivity disorder,Number,1990,1.5430788209662132,3.5053829061018704,0.5125542216650099
30,30,DALYs (Disability-Adjusted Life Years),America,Both,40 to 44,Attention-deficit/hyperactivity disorder,Number,1990,3737.2696385872737,6004.024378531038,2219.4511815499886
31,31,DALYs (Disability-Adjusted Life Years),America,Male,45 to 49,Attention-deficit/hyperactivity disorder,Number,1990,1624.2846939863214,2589.278218918878,955.8717249041916
32,32,DALYs (Disability-Adjusted Life Years),America,Female,45 to 49,Attention-deficit/hyperactivity disorder,Number,1990,834.5169653609889,1351.179299044774,492.0494926629219
33,33,DALYs (Disability-Adjusted Life Years),America,Both,45 to 49,Attention-deficit/hyperactivity disorder,Number,1990,2458.801659347311,3945.565978231084,1443.7363730515744
34,34,DALYs (Disability-Adjusted Life Years),America,Male,50 to 54,Attention-deficit/hyperactivity disorder,Number,1990,1047.749554567108,1692.4002899029474,619.1334765264453
35,35,DALYs (Disability-Adjusted Life Years),America,Female,50 to 54,Attention-deficit/hyperactivity disorder,Number,1990,560.7678328185697,906.6775966879989,332.5576579614352
36,36,DALYs (Disability-Adjusted Life Years),America,Both,50 to 54,Attention-deficit/hyperactivity disorder,Number,1990,1608.5173873856775,2606.88462440998,958.9870138732476
