,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),America,Male,01 to 04,Depressive disorders,Rate,1990,0.2435061271072769,0.4885361984852163,0.10688022640198144
1,1,DALYs (Disability-Adjusted Life Years),America,Both,85 to 89,Attention-deficit/hyperactivity disorder,Rate,1990,0.003423876069658235,0.009119999451167357,0.00078121401362264
2,2,DALYs (Disability-Adjusted Life Years),America,Male,90 to 94,Attention-deficit/hyperactivity disorder,Rate,1990,0.00010128305140729628,0.0004242581649789177,6.929956138234224e-06
3,3,DALYs (Disability-Adjusted Life Years),America,Female,90 to 94,Attention-deficit/hyperactivity disorder,Rate,1990,0.00023043648108482813,0.0008652127619873293,2.542243027745707e-05
4,4,DALYs (Disability-Adjusted Life Years),America,Both,90 to 94,Attention-deficit/hyperactivity disorder,Rate,1990,0.00019299744040019042,0.0007498035200260907,2.067936142098724e-05
5,5,DALYs (Disability-Adjusted Life Years),America,Male,95 plus,Attention-deficit/hyperactivity disorder,Rate,1990,2.1975840019513745e-06,1.3839015481493658e-05,1.5467941714884744e-08
6,6,DALYs (Disability-Adjusted Life Years),America,Female,95 plus,Attention-deficit/hyperactivity disorder,Rate,1990,1.081786036143468e-05,5.245637048461906e-05,3.012253557247957e-07
7,7,DALYs (Disability-Adjusted Life Years),America,Both,95 plus,Attention-deficit/hyperactivity disorder,Rate,1990,8.699745503822607e-06,4.2899480609605604e-05,2.2996984552461825e-07
8,8,DALYs (Disability-Adjusted Life Years),America,Male,01 to 04,Conduct disorder,Rate,1990,0.0,0.0,0.0
9,9,DALYs (Disability-Adjusted Life Years),America,Female,01 to 04,Conduct disorder,Rate,1990,0.0,0.0,0.0
10,10,DALYs (Disability-Adjusted Life Years),America,Both,01 to 04,Conduct disorder,Rate,1990,0.0,0.0,0.0
11,11,DALYs (Disability-Adjusted Life Years),America,Male,05 to 09,Conduct disorder,Rate,1990,220.91015396217117,366.5471423080888,125.12928333403359
12,12,DALYs (Disability-Adjusted Life Years),America,Female,05 to 09,Conduct disorder,Rate,1990,117.05570823796928,197.2618082004812,64.27959804830495
13,13,DALYs (Disability-Adjusted Life Years),America,Both,05 to 09,Conduct disorder,Rate,1990,169.84771386441832,279.3467162411432,96.07004326144337
14,14,DALYs (Disability-Adjusted Life Years),America,Male,10 to 14,Conduct disorder,Rate,1990,582.2843567835067,929.2718678683693,333.3249815813408
15,15,DALYs (Disability-Adjusted Life Years),America,Female,10 to 14,Conduct disorder,Rate,1990,401.15657487737593,685.8777505515037,224.72266029844795
16,16,DALYs (Disability-Adjusted Life Years),America,Both,10 to 14,Conduct disorder,Rate,1990,492.772070905502,813.3337849522223,283.163885956944
17,17,DALYs (Disability-Adjusted Life Years),America,Male,15 to 19,Conduct disorder,Rate,1990,490.55755433640036,795.0069306085629,289.51247339500213
18,18,DALYs (Disability-Adjusted Life Years),America,Female,15 to 19,Conduct disorder,Rate,1990,295.4339163876721,482.63358284810965,163.9044965237916
19,19,DALYs (Disability-Adjusted Life Years),America,Both,15 to 19,Conduct disorder,Rate,1990,393.21355983312964,630.6293910591628,226.1202470481584
20,20,DALYs (Disability-Adjusted Life Years),America,Male,20 to 24,Conduct disorder,Rate,1990,95.3327786976963,158.29435241180818,51.692548494185324
21,21,DALYs (Disability-Adjusted Life Years),America,Female,20 to 24,Conduct disorder,Rate,1990,34.431832619382696,59.45333597762014,16.42392774277317
22,22,DALYs (Disability-Adjusted Life Years),America,Both,20 to 24,Conduct disorder,Rate,1990,64.63882209040223,107.68516617127004,34.912327273317125
23,23,DALYs (Disability-Adjusted Life Years),America,Male,25 to 29,Conduct disorder,Rate,1990,0.0,0.0,0.0
24,24,DALYs (Disability-Adjusted Life Years),America,Female,25 to 29,Conduct disorder,Rate,1990,0.0,0.0,0.0
25,25,DALYs (Disability-Adjusted Life Years),America,Both,25 to 29,Conduct disorder,Rate,1990,0.0,0.0,0.0
26,26,DALYs (Disability-Adjusted Life Years),America,Female,85 to 89,Attention-deficit/hyperactivity disorder,Rate,1990,0.003711244368864311,0.009713242273478638,0.0008678489403764807
27,27,DALYs (Disability-Adjusted Life Years),America,Male,85 to 89,Attention-deficit/hyperactivity disorder,Rate,1990,0.0028586800861670693,0.007853656743764845,0.0006387293156087197
28,28,DALYs (Disability-Adjusted Life Years),America,Both,80 to 84,Attention-deficit/hyperactivity disorder,Rate,1990,0.03877968713734711,0.08652864926422646,0.013436514841160305
29,29,DALYs (Disability-Adjusted Life Years),America,Female,80 to 84,Attention-deficit/hyperactivity disorder,Rate,1990,0.03754714290274665,0.08529513276699564,0.012471784554862728
30,30,DALYs (Disability-Adjusted Life Years),America,Both,40 to 44,Attention-deficit/hyperactivity disorder,Rate,1990,9.00384423389694,14.464918378554115,5.347110231781035
31,31,DALYs (Disability-Adjusted Life Years),America,Male,45 to 49,Attention-deficit/hyperactivity disorder,Rate,1990,9.989863483529287,15.924878208630881,5.87891277613612
32,32,DALYs (Disability-Adjusted Life Years),America,Female,45 to 49,Attention-deficit/hyperactivity disorder,Rate,1990,4.981331717253246,8.065351068226919,2.937102355013141
33,33,DALYs (Disability-Adjusted Life Years),America,Both,45 to 49,Attention-deficit/hyperactivity disorder,Rate,1990,7.448156704398702,11.951835798423085,4.373339632926219
34,34,DALYs (Disability-Adjusted Life Years),America,Male,50 to 54,Attention-deficit/hyperactivity disorder,Rate,1990,7.8487307270127875,12.677833266419034,4.637951808381435
35,35,DALYs (Disability-Adjusted Life Years),America,Female,50 to 54,Attention-deficit/hyperactivity disorder,Rate,1990,4.012375883151013,6.48741084961851,2.3794986953065105
36,36,DALYs (Disability-Adjusted Life Years),America,Both,50 to 54,Attention-deficit/hyperactivity disorder,Rate,1990,5.886562455631193,9.540207197359043,3.5095280881477864
37,37,DALYs (Disability-Adjusted Life Years),America,Male,55 to 59,Attention-deficit/hyperactivity disorder,Rate,1990,5.429209497870897,8.851554940262334,3.1606128748278217
38,38,DALYs (Disability-Adjusted Life Years),America,Female,55 to 59,Attention-deficit/hyperactivity disorder,Rate,1990,2.86528910571282,4.729703439007358,1.6390782654101468
39,39,DALYs (Disability-Adjusted Life Years),America,Both,55 to 59,Attention-deficit/hyperactivity disorder,Rate,1990,4.101546272285406,6.625282958472093,2.374857292630486
40,40,DALYs (Disability-Adjusted Life Years),America,Male,60 to 64,Attention-deficit/hyperactivity disorder,Rate,1990,3.24452151339571,5.392984323263269,1.8490850228969504
41,41,DALYs (Disability-Adjusted Life Years),America,Female,60 to 64,Attention-deficit/hyperactivity disorder,Rate,1990,1.76954531257879,2.8982532641572036,1.0072492892602714
42,42,DALYs (Disability-Adjusted Life Years),America,Male,30 to 34,Conduct disorder,Rate,1990,0.0,0.0,0.0
43,43,DALYs (Disability-Adjusted Life Years),America,Both,60 to 64,Attention-deficit/hyperactivity disorder,Rate,1990,2.46816274700723,4.0977250011570385,1.4227467882511229
44,44,DALYs (Disability-Adjusted Life Years),America,Female,65 to 69,Attention-deficit/hyperactivity disorder,Rate,1990,0.9507805648051788,1.634059584254849,0.5225219153115586
45,45,DALYs (Disability-Adjusted Life Years),America,Both,65 to 69,Attention-deficit/hyperactivity disorder,Rate,1990,1.2827679069710187,2.1226627711332733,0.6930294854005297
46,46,DALYs (Disability-Adjusted Life Years),America,Male,70 to 74,Attention-deficit/hyperactivity disorder,Rate,1990,0.7799626996794158,1.3894356311860925,0.3886895860274632
47,47,DALYs (Disability-Adjusted Life Years),America,Female,70 to 74,Attention-deficit/hyperactivity disorder,Rate,1990,0.4824809370132672,0.8900080471177821,0.2257209687104304
48,48,DALYs (Disability-Adjusted Life Years),America,Both,70 to 74,Attention-deficit/hyperactivity disorder,Rate,1990,0.6142597844359928,1.0889807521054742,0.2998031549462933
49,49,DALYs (Disability-Adjusted Life Years),America,Male,75 to 79,Attention-deficit/hyperactivity disorder,Rate,1990,0.2811812824956945,0.5297572731279667,0.12131077925385572
50,50,DALYs (Disability-Adjusted Life Years),America,Female,75 to 79,Attention-deficit/hyperactivity disorder,Rate,1990,0.1933414923764017,0.3840568274562435,0.07766253731465728
51,51,DALYs (Disability-Adjusted Life Years),America,Both,75 to 79,Attention-deficit/hyperactivity disorder,Rate,1990,0.2298279115604309,0.44040550819971575,0.09633342357573356
52,52,DALYs (Disability-Adjusted Life Years),America,Male,All Ages,Attention-deficit/hyperactivity disorder,Rate,1990,20.663323650394002,32.73969262272375,12.485069650507253
53,53,DALYs (Disability-Adjusted Life Years),America,Female,All Ages,Attention-deficit/hyperactivity disorder,Rate,1990,8.824724710247715,14.086111519647305,5.3354123281741845
54,54,DALYs (Disability-Adjusted Life Years),America,Both,All Ages,Attention-deficit/hyperactivity disorder,Rate,1990,14.648870157568176,23.165198305521866,8.880583175923114
55,55,DALYs (Disability-Adjusted Life Years),America,Male,80 to 84,Attention-deficit/hyperactivity disorder,Rate,1990,0.040792833241909375,0.08548172394058673,0.014896510728163602
56,56,DALYs (Disability-Adjusted Life Years),America,Male,65 to 69,Attention-deficit/hyperactivity disorder,Rate,1990,1.6720532060599425,2.7970958078653507,0.8973335069387335
57,57,DALYs (Disability-Adjusted Life Years),America,Female,40 to 44,Attention-deficit/hyperactivity disorder,Rate,1990,5.917490526184277,9.506565289804486,3.519295834440926
58,58,DALYs (Disability-Adjusted Life Years),America,Female,30 to 34,Conduct disorder,Rate,1990,0.0,0.0,0.0
59,59,DALYs (Disability-Adjusted Life Years),America,Male,35 to 39,Conduct disorder,Rate,1990,0.0,0.0,0.0
60,60,DALYs (Disability-Adjusted Life Years),America,Both,80 to 84,Conduct disorder,Rate,1990,0.0,0.0,0.0
61,61,DALYs (Disability-Adjusted Life Years),America,Male,85 to 89,Conduct disorder,Rate,1990,0.0,0.0,0.0
62,62,DALYs (Disability-Adjusted Life Years),America,Female,85 to 89,Conduct disorder,Rate,1990,0.0,0.0,0.0
63,63,DALYs (Disability-Adjusted Life Years),America,Both,85 to 89,Conduct disorder,Rate,1990,0.0,0.0,0.0
64,64,DALYs (Disability-Adjusted Life Years),America,Male,90 to 94,Conduct disorder,Rate,1990,0.0,0.0,0.0
65,65,DALYs (Disability-Adjusted Life Years),America,Female,90 to 94,Conduct disorder,Rate,1990,0.0,0.0,0.0
66,66,DALYs (Disability-Adjusted Life Years),America,Both,90 to 94,Conduct disorder,Rate,1990,0.0,0.0,0.0
67,67,DALYs (Disability-Adjusted Life Years),America,Male,95 plus,Conduct disorder,Rate,1990,0.0,0.0,0.0
68,68,DALYs (Disability-Adjusted Life Years),America,Female,95 plus,Conduct disorder,Rate,1990,0.0,0.0,0.0
69,69,DALYs (Disability-Adjusted Life Years),America,Both,95 plus,Conduct disorder,Rate,1990,0.0,0.0,0.0
70,70,DALYs (Disability-Adjusted Life Years),America,Male,01 to 04,Idiopathic developmental intellectual disability,Rate,1990,22.740720943725858,43.91390985908574,6.116082356455193
71,71,DALYs (Disability-Adjusted Life Years),America,Female,01 to 04,Idiopathic developmental intellectual disability,Rate,1990,21.19379185474694,39.39557398644704,6.962523075810733
72,72,DALYs (Disability-Adjusted Life Years),America,Both,01 to 04,Idiopathic developmental intellectual disability,Rate,1990,21.980769448696133,41.52270937308733,6.557620144384079
73,73,DALYs (Disability-Adjusted Life Years),America,Male,05 to 09,Idiopathic developmental intellectual disability,Rate,1990,26.528077797085604,48.27877846843594,8.811426988587185
74,74,DALYs (Disability-Adjusted Life Years),America,Female,05 to 09,Idiopathic developmental intellectual disability,Rate,1990,24.77080871300241,43.61933900603752,9.99233376339207
75,75,DALYs (Disability-Adjusted Life Years),America,Both,05 to 09,Idiopathic developmental intellectual disability,Rate,1990,25.66407581126863,45.84309133202838,9.65605218273264
76,76,DALYs (Disability-Adjusted Life Years),America,Male,10 to 14,Idiopathic developmental intellectual disability,Rate,1990,25.822047397191447,47.916621295327865,8.266160610840918
77,77,DALYs (Disability-Adjusted Life Years),America,Female,10 to 14,Idiopathic developmental intellectual disability,Rate,1990,23.6860290149124,41.62594976185267,9.675024309761987
78,78,DALYs (Disability-Adjusted Life Years),America,Both,10 to 14,Idiopathic developmental intellectual disability,Rate,1990,24.76643965958705,44.55759367465127,8.997722439952888
79,79,DALYs (Disability-Adjusted Life Years),America,Male,15 to 19,Idiopathic developmental intellectual disability,Rate,1990,25.509219869417855,46.545956757821976,8.514934177400447
80,80,DALYs (Disability-Adjusted Life Years),America,Female,15 to 19,Idiopathic developmental intellectual disability,Rate,1990,22.882756578247644,40.289930414569056,9.251979782977518
81,81,DALYs (Disability-Adjusted Life Years),America,Both,15 to 19,Idiopathic developmental intellectual disability,Rate,1990,24.198920251870245,43.34006191327921,8.655819248859714
82,82,DALYs (Disability-Adjusted Life Years),America,Male,20 to 24,Idiopathic developmental intellectual disability,Rate,1990,25.182317137856327,45.68318472876065,8.239015015251987
83,83,DALYs (Disability-Adjusted Life Years),America,Female,20 to 24,Idiopathic developmental intellectual disability,Rate,1990,22.165274104010678,38.91031393766485,8.89008602664166
84,84,DALYs (Disability-Adjusted Life Years),America,Both,20 to 24,Idiopathic developmental intellectual disability,Rate,1990,23.66173340432755,42.416254841424696,8.490394792216739
85,85,DALYs (Disability-Adjusted Life Years),America,Female,80 to 84,Conduct disorder,Rate,1990,0.0,0.0,0.0
86,86,DALYs (Disability-Adjusted Life Years),America,Male,80 to 84,Conduct disorder,Rate,1990,0.0,0.0,0.0
87,87,DALYs (Disability-Adjusted Life Years),America,Both,All Ages,Conduct disorder,Rate,1990,107.06795766975893,168.83720835595963,64.65118021047019
88,88,DALYs (Disability-Adjusted Life Years),America,Female,All Ages,Conduct disorder,Rate,1990,79.18274734907997,128.09181143053158,47.24629093563575
89,89,DALYs (Disability-Adjusted Life Years),America,Female,35 to 39,Conduct disorder,Rate,1990,0.0,0.0,0.0
90,90,DALYs (Disability-Adjusted Life Years),America,Both,35 to 39,Conduct disorder,Rate,1990,0.0,0.0,0.0
91,91,DALYs (Disability-Adjusted Life Years),America,Male,40 to 44,Conduct disorder,Rate,1990,0.0,0.0,0.0
92,92,DALYs (Disability-Adjusted Life Years),America,Female,40 to 44,Conduct disorder,Rate,1990,0.0,0.0,0.0
93,93,DALYs (Disability-Adjusted Life Years),America,Both,40 to 44,Conduct disorder,Rate,1990,0.0,0.0,0.0
