,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),Asia,Male,85 to 89,Depressive disorders,Number,1990,14886.988120129097,20018.22533299429,10222.471486101917
1,1,DALYs (Disability-Adjusted Life Years),Asia,Female,85 to 89,Major depressive disorder,Number,1990,26233.406044007643,35592.53095654705,17764.627347503232
2,2,DALYs (Disability-Adjusted Life Years),Asia,Both,85 to 89,Major depressive disorder,Number,1990,37532.29598281437,50950.680893552686,25432.523004494702
3,3,DALYs (Disability-Adjusted Life Years),Asia,Male,90 to 94,Major depressive disorder,Number,1990,2415.817229138351,3343.9425591118456,1589.0488050618146
4,4,DALYs (Disability-Adjusted Life Years),Asia,Female,90 to 94,Major depressive disorder,Number,1990,6307.515527856294,8700.049379039521,4207.311587182682
5,5,DALYs (Disability-Adjusted Life Years),Asia,Both,90 to 94,Major depressive disorder,Number,1990,8723.332756994645,12033.18575891429,5818.440941264236
6,6,DALYs (Disability-Adjusted Life Years),Asia,Male,95 plus,Major depressive disorder,Number,1990,334.45117515137787,492.0615110161807,207.81509654248268
7,7,DALYs (Disability-Adjusted Life Years),Asia,Female,95 plus,Major depressive disorder,Number,1990,1000.2961633866968,1487.8698906575617,618.5902380074622
8,8,DALYs (Disability-Adjusted Life Years),Asia,Both,95 plus,Major depressive disorder,Number,1990,1334.747338538075,1977.265727412635,827.4970856890013
9,9,DALYs (Disability-Adjusted Life Years),Asia,Male,01 to 04,Dysthymia,Number,1990,83.88788922748294,177.19009600509258,28.64009187513385
10,10,DALYs (Disability-Adjusted Life Years),Asia,Female,01 to 04,Dysthymia,Number,1990,87.54345161263825,190.11264173202275,30.652735264567408
11,11,DALYs (Disability-Adjusted Life Years),Asia,Both,01 to 04,Dysthymia,Number,1990,171.43134084012115,370.55589288907134,60.07045803161158
12,12,DALYs (Disability-Adjusted Life Years),Asia,Male,05 to 09,Dysthymia,Number,1990,5311.019258883628,9020.698809226213,2843.9730413837433
13,13,DALYs (Disability-Adjusted Life Years),Asia,Female,05 to 09,Dysthymia,Number,1990,6241.354928309187,10490.96921919253,3293.402344811946
