,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),Asia,Male,85 to 89,Depressive disorders,Rate,1990,703.5514679746092,946.0511223376,483.10879019585207
1,1,DALYs (Disability-Adjusted Life Years),Asia,Female,85 to 89,Major depressive disorder,Rate,1990,784.0309993285408,1063.7447370608577,530.9268079256369
2,2,DALYs (Disability-Adjusted Life Years),Asia,Both,85 to 89,Major depressive disorder,Rate,1990,687.1602135057217,932.8307753169918,465.6314643196866
3,3,DALYs (Disability-Adjusted Life Years),Asia,Male,90 to 94,Major depressive disorder,Rate,1990,512.7891741256983,709.7960568077963,337.29663592295316
4,4,DALYs (Disability-Adjusted Life Years),Asia,Female,90 to 94,Major depressive disorder,Rate,1990,737.2942863816597,1016.9609048246306,491.79851885539705
5,5,DALYs (Disability-Adjusted Life Years),Asia,Both,90 to 94,Major depressive disorder,Rate,1990,657.5666644532232,907.0640823475077,438.5953062489082
6,6,DALYs (Disability-Adjusted Life Years),Asia,Male,95 plus,Major depressive disorder,Rate,1990,499.259583182426,734.5359895322855,310.2207024145004
7,7,DALYs (Disability-Adjusted Life Years),Asia,Female,95 plus,Major depressive disorder,Rate,1990,709.9987888373888,1056.073050143357,439.0682838220021
8,8,DALYs (Disability-Adjusted Life Years),Asia,Both,95 plus,Major depressive disorder,Rate,1990,642.0868163735905,951.1734688525656,398.0715705269178
9,9,DALYs (Disability-Adjusted Life Years),Asia,Male,01 to 04,Dysthymia,Rate,1990,0.051033227167302166,0.1077936577555642,0.017423210051127024
10,10,DALYs (Disability-Adjusted Life Years),Asia,Female,01 to 04,Dysthymia,Rate,1990,0.057598926220138874,0.12508398769894555,0.0201678664072046
11,11,DALYs (Disability-Adjusted Life Years),Asia,Both,01 to 04,Dysthymia,Rate,1990,0.054187499138729917,0.1171285077067922,0.01898758929901142
12,12,DALYs (Disability-Adjusted Life Years),Asia,Male,05 to 09,Dysthymia,Rate,1990,2.8629461073696505,4.8626776298033585,1.5330657170324935
13,13,DALYs (Disability-Adjusted Life Years),Asia,Female,05 to 09,Dysthymia,Rate,1990,3.613071061059792,6.073139201939621,1.9065245994093918
14,14,DALYs (Disability-Adjusted Life Years),Asia,Both,05 to 09,Dysthymia,Rate,1990,3.2246445063631324,5.3376130343539705,1.7171393768752103
15,15,DALYs (Disability-Adjusted Life Years),Asia,Male,10 to 14,Dysthymia,Rate,1990,20.32338406974544,32.43815133080494,11.822648023705552
16,16,DALYs (Disability-Adjusted Life Years),Asia,Female,10 to 14,Dysthymia,Rate,1990,28.31576903755701,44.76669376195657,16.875083637045854
17,17,DALYs (Disability-Adjusted Life Years),Asia,Both,10 to 14,Dysthymia,Rate,1990,24.192424903578292,38.1437205122926,14.306892313647854
18,18,DALYs (Disability-Adjusted Life Years),Asia,Male,15 to 19,Dysthymia,Rate,1990,54.42938578417329,84.58800089831978,33.1701168042508
19,19,DALYs (Disability-Adjusted Life Years),Asia,Female,15 to 19,Dysthymia,Rate,1990,79.29125970112287,123.04182145738442,47.66426691231524
20,20,DALYs (Disability-Adjusted Life Years),Asia,Both,15 to 19,Dysthymia,Rate,1990,66.55753747571198,102.8292116167276,40.517665425165404
21,21,DALYs (Disability-Adjusted Life Years),Asia,Male,20 to 24,Dysthymia,Rate,1990,81.79173600412129,129.93647868753948,51.116257173610535
22,22,DALYs (Disability-Adjusted Life Years),Asia,Female,20 to 24,Dysthymia,Rate,1990,120.28695167017307,189.2513658632905,75.40444175836359
23,23,DALYs (Disability-Adjusted Life Years),Asia,Both,20 to 24,Dysthymia,Rate,1990,100.69879586388599,158.2928305098401,62.71334268763664
24,24,DALYs (Disability-Adjusted Life Years),Asia,Male,25 to 29,Dysthymia,Rate,1990,102.00135395991285,160.6523489245439,62.6518788498424
25,25,DALYs (Disability-Adjusted Life Years),Asia,Female,25 to 29,Dysthymia,Rate,1990,151.41194818829754,236.38570014567344,94.62810850913208
26,26,DALYs (Disability-Adjusted Life Years),Asia,Both,25 to 29,Dysthymia,Rate,1990,126.26844666612905,199.12314265451712,78.35573525960736
27,27,DALYs (Disability-Adjusted Life Years),Asia,Male,30 to 34,Dysthymia,Rate,1990,118.80806956720812,183.1902136761913,75.55503718004293
28,28,DALYs (Disability-Adjusted Life Years),Asia,Female,30 to 34,Dysthymia,Rate,1990,178.00572319693646,273.4668286957491,114.75776358186569
29,29,DALYs (Disability-Adjusted Life Years),Asia,Both,30 to 34,Dysthymia,Rate,1990,147.5404767813135,227.11613001744044,93.76653261461
30,30,DALYs (Disability-Adjusted Life Years),Asia,Male,85 to 89,Major depressive disorder,Rate,1990,533.9797774260661,730.2401833772395,361.3642148924719
31,31,DALYs (Disability-Adjusted Life Years),Asia,Both,80 to 84,Major depressive disorder,Rate,1990,721.0929150453825,1025.8077776763487,476.119153890893
32,32,DALYs (Disability-Adjusted Life Years),Asia,Female,80 to 84,Major depressive disorder,Rate,1990,838.5487086339709,1190.5451933091686,557.2786714169754
33,33,DALYs (Disability-Adjusted Life Years),Asia,Male,80 to 84,Major depressive disorder,Rate,1990,558.1006215633927,789.8618334473344,369.2133050071367
34,34,DALYs (Disability-Adjusted Life Years),Asia,Male,35 to 39,Major depressive disorder,Rate,1990,411.25189950241514,581.5240272037772,275.01908376970687
35,35,DALYs (Disability-Adjusted Life Years),Asia,Female,35 to 39,Major depressive disorder,Rate,1990,677.9480309320522,950.36026326895,450.04516143946273
36,36,DALYs (Disability-Adjusted Life Years),Asia,Both,35 to 39,Major depressive disorder,Rate,1990,540.7679723031623,759.5320658607857,360.8344963294911
37,37,DALYs (Disability-Adjusted Life Years),Asia,Male,40 to 44,Major depressive disorder,Rate,1990,446.5955463486743,643.3236656378444,288.07229520220346
38,38,DALYs (Disability-Adjusted Life Years),Asia,Female,40 to 44,Major depressive disorder,Rate,1990,726.4771403504532,1043.2286038916695,468.0099572703533
39,39,DALYs (Disability-Adjusted Life Years),Asia,Both,40 to 44,Major depressive disorder,Rate,1990,581.214939000466,835.5689262497186,374.5498656312553
40,40,DALYs (Disability-Adjusted Life Years),Asia,Male,45 to 49,Major depressive disorder,Rate,1990,471.4255705775672,643.5572908420072,319.72987347781793
41,41,DALYs (Disability-Adjusted Life Years),Asia,Female,45 to 49,Major depressive disorder,Rate,1990,764.1508223517587,1044.777663118903,521.310576738729
42,42,DALYs (Disability-Adjusted Life Years),Asia,Both,45 to 49,Major depressive disorder,Rate,1990,611.8617268061107,834.7689577746353,416.2773951974921
43,43,DALYs (Disability-Adjusted Life Years),Asia,Male,50 to 54,Major depressive disorder,Rate,1990,487.8818806685025,682.1406153836767,334.0571559048447
44,44,DALYs (Disability-Adjusted Life Years),Asia,Female,50 to 54,Major depressive disorder,Rate,1990,792.8547974241827,1104.5034996579109,546.6870470224154
45,45,DALYs (Disability-Adjusted Life Years),Asia,Both,50 to 54,Major depressive disorder,Rate,1990,634.3737698204402,885.586195861314,435.3180164295945
46,46,DALYs (Disability-Adjusted Life Years),Asia,Male,55 to 59,Major depressive disorder,Rate,1990,506.7495165599084,718.5706607689493,336.93035820305664
47,47,DALYs (Disability-Adjusted Life Years),Asia,Female,55 to 59,Major depressive disorder,Rate,1990,826.265940416532,1178.4820955377575,553.5300487960767
48,48,DALYs (Disability-Adjusted Life Years),Asia,Male,35 to 39,Dysthymia,Rate,1990,134.52738696030082,207.42813026232966,85.55152955492491
49,49,DALYs (Disability-Adjusted Life Years),Asia,Both,55 to 59,Major depressive disorder,Rate,1990,661.2900468739773,942.0678835210887,442.7303541857419
50,50,DALYs (Disability-Adjusted Life Years),Asia,Female,60 to 64,Major depressive disorder,Rate,1990,849.3470926588761,1207.2866408263856,563.7051239275448
51,51,DALYs (Disability-Adjusted Life Years),Asia,Both,60 to 64,Major depressive disorder,Rate,1990,683.8214270839974,970.1747787823596,452.7251377048655
52,52,DALYs (Disability-Adjusted Life Years),Asia,Male,65 to 69,Major depressive disorder,Rate,1990,539.8883015639734,748.1148376513559,368.6860154231627
53,53,DALYs (Disability-Adjusted Life Years),Asia,Female,65 to 69,Major depressive disorder,Rate,1990,853.8583177747086,1170.792431526272,582.1394369373493
54,54,DALYs (Disability-Adjusted Life Years),Asia,Both,65 to 69,Major depressive disorder,Rate,1990,699.6020017997606,962.1161082222733,477.83043209016716
55,55,DALYs (Disability-Adjusted Life Years),Asia,Male,70 to 74,Major depressive disorder,Rate,1990,553.1751611332559,766.7413965234098,375.90260338476935
56,56,DALYs (Disability-Adjusted Life Years),Asia,Female,70 to 74,Major depressive disorder,Rate,1990,861.8129080598517,1181.3219068685635,587.6090505085613
57,57,DALYs (Disability-Adjusted Life Years),Asia,Both,70 to 74,Major depressive disorder,Rate,1990,716.988318719619,987.1274006971236,489.4400376132345
58,58,DALYs (Disability-Adjusted Life Years),Asia,Male,75 to 79,Major depressive disorder,Rate,1990,560.0327090471249,807.082917586766,372.6128592007721
59,59,DALYs (Disability-Adjusted Life Years),Asia,Female,75 to 79,Major depressive disorder,Rate,1990,861.4164937079232,1219.6071826162815,573.2615835070776
60,60,DALYs (Disability-Adjusted Life Years),Asia,Both,75 to 79,Major depressive disorder,Rate,1990,727.7726226887811,1035.948509309398,484.2306146583313
61,61,DALYs (Disability-Adjusted Life Years),Asia,Male,All Ages,Major depressive disorder,Rate,1990,287.5674342820497,395.41153512786553,200.00018225709343
62,62,DALYs (Disability-Adjusted Life Years),Asia,Female,All Ages,Major depressive disorder,Rate,1990,473.5671496587134,648.4444040341867,329.3941331791993
63,63,DALYs (Disability-Adjusted Life Years),Asia,Both,All Ages,Major depressive disorder,Rate,1990,378.21855776919466,518.9182213648345,263.0140775254402
64,64,DALYs (Disability-Adjusted Life Years),Asia,Male,60 to 64,Major depressive disorder,Rate,1990,525.2460869026871,739.5698474969943,347.8404008251542
65,65,DALYs (Disability-Adjusted Life Years),Asia,Both,30 to 34,Major depressive disorder,Rate,1990,499.4190251963673,727.7256666270731,317.12864863427694
66,66,DALYs (Disability-Adjusted Life Years),Asia,Female,35 to 39,Dysthymia,Rate,1990,205.317889661002,317.65935982981176,129.9151214571103
67,67,DALYs (Disability-Adjusted Life Years),Asia,Male,40 to 44,Dysthymia,Rate,1990,150.98713387888162,232.80603205895082,94.24860779936031
68,68,DALYs (Disability-Adjusted Life Years),Asia,Both,90 to 94,Dysthymia,Rate,1990,175.06318182845195,254.0310175887236,116.87462469605468
69,69,DALYs (Disability-Adjusted Life Years),Asia,Male,95 plus,Dysthymia,Rate,1990,124.44431420381954,184.9687169975032,80.06164146413835
70,70,DALYs (Disability-Adjusted Life Years),Asia,Female,95 plus,Dysthymia,Rate,1990,153.5771681682812,229.4977404396368,99.67602765404713
71,71,DALYs (Disability-Adjusted Life Years),Asia,Both,95 plus,Dysthymia,Rate,1990,144.18893131848654,215.3944054953212,92.56174309422592
72,72,DALYs (Disability-Adjusted Life Years),Asia,Male,01 to 04,Bipolar disorder,Rate,1990,0.0,0.0,0.0
73,73,DALYs (Disability-Adjusted Life Years),Asia,Female,01 to 04,Bipolar disorder,Rate,1990,0.0,0.0,0.0
74,74,DALYs (Disability-Adjusted Life Years),Asia,Both,01 to 04,Bipolar disorder,Rate,1990,0.0,0.0,0.0
75,75,DALYs (Disability-Adjusted Life Years),Asia,Male,05 to 09,Bipolar disorder,Rate,1990,0.0,0.0,0.0
76,76,DALYs (Disability-Adjusted Life Years),Asia,Female,05 to 09,Bipolar disorder,Rate,1990,0.0,0.0,0.0
77,77,DALYs (Disability-Adjusted Life Years),Asia,Both,05 to 09,Bipolar disorder,Rate,1990,0.0,0.0,0.0
78,78,DALYs (Disability-Adjusted Life Years),Asia,Male,10 to 14,Bipolar disorder,Rate,1990,42.49470317875528,67.05782056924684,24.35460909232671
79,79,DALYs (Disability-Adjusted Life Years),Asia,Female,10 to 14,Bipolar disorder,Rate,1990,41.90464775694078,65.61854175315575,24.08981427958064
80,80,DALYs (Disability-Adjusted Life Years),Asia,Both,10 to 14,Bipolar disorder,Rate,1990,42.209062718439725,66.35189220962796,24.435128437479573
81,81,DALYs (Disability-Adjusted Life Years),Asia,Male,15 to 19,Bipolar disorder,Rate,1990,134.0141163425042,208.97793922103241,78.2191919674235
82,82,DALYs (Disability-Adjusted Life Years),Asia,Female,15 to 19,Bipolar disorder,Rate,1990,130.47642619375574,205.48700591230443,77.50715102198365
83,83,DALYs (Disability-Adjusted Life Years),Asia,Both,15 to 19,Bipolar disorder,Rate,1990,132.28835572988874,207.2008207678231,77.72450801566114
84,84,DALYs (Disability-Adjusted Life Years),Asia,Male,20 to 24,Bipolar disorder,Rate,1990,131.2849999778083,205.5683083172192,79.27317932099108
85,85,DALYs (Disability-Adjusted Life Years),Asia,Female,20 to 24,Bipolar disorder,Rate,1990,128.4959224552147,199.6200324695594,76.71390710863588
86,86,DALYs (Disability-Adjusted Life Years),Asia,Both,20 to 24,Bipolar disorder,Rate,1990,129.91513479428352,202.1131118367894,78.45770968414162
87,87,DALYs (Disability-Adjusted Life Years),Asia,Male,25 to 29,Bipolar disorder,Rate,1990,121.51122146560164,189.88050086563817,74.55053957201999
88,88,DALYs (Disability-Adjusted Life Years),Asia,Female,25 to 29,Bipolar disorder,Rate,1990,120.7247251223305,186.64618219420944,73.27678413025208
89,89,DALYs (Disability-Adjusted Life Years),Asia,Both,25 to 29,Bipolar disorder,Rate,1990,121.12494844109514,188.30756553520092,73.81372577636263
90,90,DALYs (Disability-Adjusted Life Years),Asia,Male,30 to 34,Bipolar disorder,Rate,1990,122.48513089828629,188.31729559700932,74.54248129382692
91,91,DALYs (Disability-Adjusted Life Years),Asia,Female,30 to 34,Bipolar disorder,Rate,1990,122.86842058470651,189.1496790111029,76.3126796157236
