,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),Australia,Female,75 to 79,Schizophrenia,Number,1990,312.96193104624086,429.51819299314593,200.85169559942653
1,1,DALYs (Disability-Adjusted Life Years),Australia,Male,20 to 24,Bipolar disorder,Number,1990,2348.1270406188087,3695.681906012856,1423.186224351402
2,2,DALYs (Disability-Adjusted Life Years),Australia,Both,15 to 19,Bipolar disorder,Number,1990,5348.186879976034,8230.765393362894,3184.72611117044
3,3,DALYs (Disability-Adjusted Life Years),Australia,Female,15 to 19,Bipolar disorder,Number,1990,2335.758203576961,3640.08046092515,1361.4185817368864
4,4,DALYs (Disability-Adjusted Life Years),Australia,Male,15 to 19,Bipolar disorder,Number,1990,3012.428676399073,4681.401983005526,1802.8524902543122
5,5,DALYs (Disability-Adjusted Life Years),Australia,Both,10 to 14,Bipolar disorder,Number,1990,1528.8712831365951,2360.672756221897,902.6540053020367
6,6,DALYs (Disability-Adjusted Life Years),Australia,Female,10 to 14,Bipolar disorder,Number,1990,631.8330217572944,1054.138422949587,351.27348362123763
7,7,DALYs (Disability-Adjusted Life Years),Australia,Male,10 to 14,Bipolar disorder,Number,1990,897.0382613793007,1395.2230231463736,511.0243855155599
8,8,DALYs (Disability-Adjusted Life Years),Australia,Both,05 to 09,Bipolar disorder,Number,1990,0.0,0.0,0.0
9,9,DALYs (Disability-Adjusted Life Years),Australia,Female,05 to 09,Bipolar disorder,Number,1990,0.0,0.0,0.0
10,10,DALYs (Disability-Adjusted Life Years),Australia,Male,05 to 09,Bipolar disorder,Number,1990,0.0,0.0,0.0
11,11,DALYs (Disability-Adjusted Life Years),Australia,Both,01 to 04,Bipolar disorder,Number,1990,0.0,0.0,0.0
12,12,DALYs (Disability-Adjusted Life Years),Australia,Female,01 to 04,Bipolar disorder,Number,1990,0.0,0.0,0.0
13,13,DALYs (Disability-Adjusted Life Years),Australia,Male,01 to 04,Bipolar disorder,Number,1990,0.0,0.0,0.0
14,14,DALYs (Disability-Adjusted Life Years),Australia,Both,95 plus,Dysthymia,Number,1990,9.610344873330837,14.53857507562672,6.127544720571318
15,15,DALYs (Disability-Adjusted Life Years),Australia,Female,95 plus,Dysthymia,Number,1990,7.935129029584639,12.128400908416861,4.963212996249872
16,16,DALYs (Disability-Adjusted Life Years),Australia,Male,95 plus,Dysthymia,Number,1990,1.6752158437461953,2.567549148759542,1.0318879795032605
17,17,DALYs (Disability-Adjusted Life Years),Australia,Both,90 to 94,Dysthymia,Number,1990,48.003640408086405,71.34757015332012,31.385465527961745
18,18,DALYs (Disability-Adjusted Life Years),Australia,Female,90 to 94,Dysthymia,Number,1990,37.60183864633909,55.66353359281933,24.74302993818657
19,19,DALYs (Disability-Adjusted Life Years),Australia,Male,90 to 94,Dysthymia,Number,1990,10.40180176174731,15.535976970885914,6.619890511281103
20,20,DALYs (Disability-Adjusted Life Years),Australia,Both,85 to 89,Dysthymia,Number,1990,155.4267961925156,234.8357936907989,100.28599428655608
21,21,DALYs (Disability-Adjusted Life Years),Australia,Female,85 to 89,Dysthymia,Number,1990,113.86599130453207,172.85751708820274,72.4698925807413
22,22,DALYs (Disability-Adjusted Life Years),Australia,Male,85 to 89,Dysthymia,Number,1990,41.56080488798347,62.95257983947819,26.180980275888253
23,23,DALYs (Disability-Adjusted Life Years),Australia,Both,80 to 84,Dysthymia,Number,1990,359.13285452234817,542.7592920529754,220.15541702421
24,24,DALYs (Disability-Adjusted Life Years),Australia,Female,80 to 84,Dysthymia,Number,1990,247.8552465366222,382.0486169584381,152.3951589711873
25,25,DALYs (Disability-Adjusted Life Years),Australia,Male,80 to 84,Dysthymia,Number,1990,111.27760798572592,171.34092918069882,67.96073829953983
26,26,DALYs (Disability-Adjusted Life Years),Australia,Female,20 to 24,Bipolar disorder,Number,1990,2349.5137327797447,3574.963079428088,1378.1105433407058
27,27,DALYs (Disability-Adjusted Life Years),Australia,Both,20 to 24,Bipolar disorder,Number,1990,4697.640773398554,7230.315670478427,2894.610119276198
28,28,DALYs (Disability-Adjusted Life Years),Australia,Male,25 to 29,Bipolar disorder,Number,1990,1845.7651833166192,2915.106792108956,1083.0323010482387
29,29,DALYs (Disability-Adjusted Life Years),Australia,Female,25 to 29,Bipolar disorder,Number,1990,2305.7621200416047,3442.132692021849,1362.2124813948408
30,30,DALYs (Disability-Adjusted Life Years),Australia,Male,70 to 74,Bipolar disorder,Number,1990,294.60566982221087,459.53779640825684,174.59322854049134
31,31,DALYs (Disability-Adjusted Life Years),Australia,Both,65 to 69,Bipolar disorder,Number,1990,1193.3835074343726,1852.9256684316363,719.909799255498
32,32,DALYs (Disability-Adjusted Life Years),Australia,Female,65 to 69,Bipolar disorder,Number,1990,680.0955984714607,1062.0089608449887,396.7326434782026
33,33,DALYs (Disability-Adjusted Life Years),Australia,Male,65 to 69,Bipolar disorder,Number,1990,513.2879089629114,804.22698775553,298.34818308205257
34,34,DALYs (Disability-Adjusted Life Years),Australia,Both,60 to 64,Bipolar disorder,Number,1990,1515.1665277949664,2258.5640026054584,931.493157738253
35,35,DALYs (Disability-Adjusted Life Years),Australia,Female,60 to 64,Bipolar disorder,Number,1990,832.2764842862323,1251.3390580828438,502.0756440969645
36,36,DALYs (Disability-Adjusted Life Years),Australia,Male,60 to 64,Bipolar disorder,Number,1990,682.8900435087345,1070.1481964824382,420.02048579679604
37,37,DALYs (Disability-Adjusted Life Years),Australia,Both,55 to 59,Bipolar disorder,Number,1990,1622.1625710326755,2462.2902619101155,1007.6601734705424
38,38,DALYs (Disability-Adjusted Life Years),Australia,Female,55 to 59,Bipolar disorder,Number,1990,892.1242891609189,1356.5955432047695,535.338998267147
39,39,DALYs (Disability-Adjusted Life Years),Australia,Male,55 to 59,Bipolar disorder,Number,1990,730.0382818717563,1123.1816722922056,440.0979126209814
40,40,DALYs (Disability-Adjusted Life Years),Australia,Both,50 to 54,Bipolar disorder,Number,1990,1989.8309984779487,3005.570346940539,1222.7065142441127
41,41,DALYs (Disability-Adjusted Life Years),Australia,Female,50 to 54,Bipolar disorder,Number,1990,1100.9587048738938,1703.9384906001242,671.1360818008168
42,42,DALYs (Disability-Adjusted Life Years),Australia,Both,All Ages,Dysthymia,Number,1990,23517.67139149736,34301.18117915682,15610.73994498624
43,43,DALYs (Disability-Adjusted Life Years),Australia,Male,50 to 54,Bipolar disorder,Number,1990,888.872293604055,1403.0623553576386,524.5804522958508
44,44,DALYs (Disability-Adjusted Life Years),Australia,Female,45 to 49,Bipolar disorder,Number,1990,1438.3760106294562,2198.5434617720234,889.1998749291267
45,45,DALYs (Disability-Adjusted Life Years),Australia,Male,45 to 49,Bipolar disorder,Number,1990,1139.9150360211004,1812.9989212549347,681.6476843777102
46,46,DALYs (Disability-Adjusted Life Years),Australia,Both,40 to 44,Bipolar disorder,Number,1990,3503.6163909738452,5330.299453673527,2148.6004869300423
47,47,DALYs (Disability-Adjusted Life Years),Australia,Female,40 to 44,Bipolar disorder,Number,1990,2001.4323708186373,3009.3062215677282,1206.485552676917
48,48,DALYs (Disability-Adjusted Life Years),Australia,Male,40 to 44,Bipolar disorder,Number,1990,1502.1840201552066,2316.436069452262,887.4902505166314
49,49,DALYs (Disability-Adjusted Life Years),Australia,Both,35 to 39,Bipolar disorder,Number,1990,3654.8754690458704,5542.124176796466,2266.022852828996
50,50,DALYs (Disability-Adjusted Life Years),Australia,Female,35 to 39,Bipolar disorder,Number,1990,2127.3810061523805,3276.220055359317,1291.136528398847
51,51,DALYs (Disability-Adjusted Life Years),Australia,Male,35 to 39,Bipolar disorder,Number,1990,1527.49446289349,2349.251331383941,930.2554107346643
52,52,DALYs (Disability-Adjusted Life Years),Australia,Both,30 to 34,Bipolar disorder,Number,1990,3922.5890526452613,5850.001442284259,2393.930349847693
53,53,DALYs (Disability-Adjusted Life Years),Australia,Female,30 to 34,Bipolar disorder,Number,1990,2271.4074225102568,3429.797817358208,1376.7424252534452
54,54,DALYs (Disability-Adjusted Life Years),Australia,Male,30 to 34,Bipolar disorder,Number,1990,1651.1816301350034,2583.8940578704182,960.5344602014543
55,55,DALYs (Disability-Adjusted Life Years),Australia,Both,25 to 29,Bipolar disorder,Number,1990,4151.527303358223,6312.755116125822,2530.657287394256
56,56,DALYs (Disability-Adjusted Life Years),Australia,Both,45 to 49,Bipolar disorder,Number,1990,2578.291046650557,3893.1310855321003,1611.8172509112565
57,57,DALYs (Disability-Adjusted Life Years),Australia,Female,70 to 74,Bipolar disorder,Number,1990,438.3464531914521,689.6084591833302,253.6477761302016
58,58,DALYs (Disability-Adjusted Life Years),Australia,Female,All Ages,Dysthymia,Number,1990,14394.398691300188,20823.472037972533,9529.468637637889
59,59,DALYs (Disability-Adjusted Life Years),Australia,Both,75 to 79,Dysthymia,Number,1990,669.5788500932965,985.0848688756447,439.9043519152256
60,60,DALYs (Disability-Adjusted Life Years),Australia,Female,25 to 29,Dysthymia,Number,1990,1461.5986765756147,2321.9861801671673,880.6717184933916
61,61,DALYs (Disability-Adjusted Life Years),Australia,Male,25 to 29,Dysthymia,Number,1990,911.0859741820044,1422.7282211638721,542.9435021696106
62,62,DALYs (Disability-Adjusted Life Years),Australia,Both,20 to 24,Dysthymia,Number,1990,2106.138424274692,3271.6640483587516,1310.0896854998853
63,63,DALYs (Disability-Adjusted Life Years),Australia,Female,20 to 24,Dysthymia,Number,1990,1301.5379655259464,2008.2594913301496,810.8325660103128
64,64,DALYs (Disability-Adjusted Life Years),Australia,Male,20 to 24,Dysthymia,Number,1990,804.6004587487456,1291.4589942803987,487.85863320433714
65,65,DALYs (Disability-Adjusted Life Years),Australia,Both,15 to 19,Dysthymia,Number,1990,1685.56252678596,2607.303942806973,1008.9477538598944
66,66,DALYs (Disability-Adjusted Life Years),Australia,Female,15 to 19,Dysthymia,Number,1990,1049.8359947090296,1645.5678580844144,603.5386498144467
67,67,DALYs (Disability-Adjusted Life Years),Australia,Male,15 to 19,Dysthymia,Number,1990,635.7265320769302,1009.5603618979852,359.97642232310466
68,68,DALYs (Disability-Adjusted Life Years),Australia,Both,10 to 14,Dysthymia,Number,1990,523.7957457075984,840.8460303444714,304.6905770545155
69,69,DALYs (Disability-Adjusted Life Years),Australia,Female,10 to 14,Dysthymia,Number,1990,316.66711897067916,508.41404626142935,179.80455193864262
70,70,DALYs (Disability-Adjusted Life Years),Australia,Male,10 to 14,Dysthymia,Number,1990,207.1286267369191,344.8819680051557,114.00033918182669
71,71,DALYs (Disability-Adjusted Life Years),Australia,Both,05 to 09,Dysthymia,Number,1990,53.651819252706325,103.12783781458552,19.27845704535723
72,72,DALYs (Disability-Adjusted Life Years),Australia,Female,05 to 09,Dysthymia,Number,1990,29.39712377169927,61.2215693314868,6.539512046027911
73,73,DALYs (Disability-Adjusted Life Years),Australia,Male,05 to 09,Dysthymia,Number,1990,24.25469548100705,53.47023354995071,4.541122010167295
74,74,DALYs (Disability-Adjusted Life Years),Australia,Both,01 to 04,Dysthymia,Number,1990,0.619410366263879,1.3166110447446455,0.2306919440156776
75,75,DALYs (Disability-Adjusted Life Years),Australia,Female,01 to 04,Dysthymia,Number,1990,0.3239266798366385,0.6845431128088004,0.12231334200228496
76,76,DALYs (Disability-Adjusted Life Years),Australia,Male,01 to 04,Dysthymia,Number,1990,0.2954836864272405,0.6307891996181451,0.102282963119937
77,77,DALYs (Disability-Adjusted Life Years),Australia,Both,95 plus,Major depressive disorder,Number,1990,50.68677075590824,73.75459270698578,31.839684891433922
78,78,DALYs (Disability-Adjusted Life Years),Australia,Female,95 plus,Major depressive disorder,Number,1990,42.480336362401374,62.0385855362684,26.627293268630925
79,79,DALYs (Disability-Adjusted Life Years),Australia,Male,95 plus,Major depressive disorder,Number,1990,8.206434393506862,12.124111792348895,5.120865731905324
80,80,DALYs (Disability-Adjusted Life Years),Australia,Both,90 to 94,Major depressive disorder,Number,1990,197.30137992695285,276.56017213023733,130.60092647849686
81,81,DALYs (Disability-Adjusted Life Years),Australia,Female,90 to 94,Major depressive disorder,Number,1990,155.37992173832455,218.0801621397465,101.4193497375175
82,82,DALYs (Disability-Adjusted Life Years),Australia,Male,90 to 94,Major depressive disorder,Number,1990,41.92145818862833,59.806481621298005,27.027380469478608
83,83,DALYs (Disability-Adjusted Life Years),Australia,Both,85 to 89,Major depressive disorder,Number,1990,484.6657264450008,669.5170406353802,319.7448904057486
84,84,DALYs (Disability-Adjusted Life Years),Australia,Female,85 to 89,Major depressive disorder,Number,1990,350.1458840890188,493.3207395254699,228.99721082661597
85,85,DALYs (Disability-Adjusted Life Years),Australia,Both,25 to 29,Dysthymia,Number,1990,2372.6846507576192,3729.1770347329907,1465.0319856996537
86,86,DALYs (Disability-Adjusted Life Years),Australia,Male,30 to 34,Dysthymia,Number,1990,952.6600869422252,1520.242926148105,570.4194959500046
87,87,DALYs (Disability-Adjusted Life Years),Australia,Female,30 to 34,Dysthymia,Number,1990,1504.3195800618357,2288.659201090059,936.2387417526712
88,88,DALYs (Disability-Adjusted Life Years),Australia,Both,30 to 34,Dysthymia,Number,1990,2456.979667004061,3781.137161601921,1521.668565307421
89,89,DALYs (Disability-Adjusted Life Years),Australia,Female,75 to 79,Dysthymia,Number,1990,441.4766437776259,663.056370981373,284.81324484585906
90,90,DALYs (Disability-Adjusted Life Years),Australia,Male,75 to 79,Dysthymia,Number,1990,228.10220631567063,341.72580370911544,144.4243249101632
91,91,DALYs (Disability-Adjusted Life Years),Australia,Both,70 to 74,Dysthymia,Number,1990,923.3720715685763,1353.166050644484,597.0124488643664
92,92,DALYs (Disability-Adjusted Life Years),Australia,Female,70 to 74,Dysthymia,Number,1990,590.0156207334038,870.726940838854,375.01945875917846
93,93,DALYs (Disability-Adjusted Life Years),Australia,Male,70 to 74,Dysthymia,Number,1990,333.35645083517267,487.45399809849937,214.33666648784484
94,94,DALYs (Disability-Adjusted Life Years),Australia,Both,65 to 69,Dysthymia,Number,1990,1304.3195676364526,1908.613158258256,836.5367273012242
95,95,DALYs (Disability-Adjusted Life Years),Australia,Female,65 to 69,Dysthymia,Number,1990,809.029442336204,1200.2913934398914,514.0167983770486
96,96,DALYs (Disability-Adjusted Life Years),Australia,Male,65 to 69,Dysthymia,Number,1990,495.2901253002484,746.4800747063905,310.0413025180282
97,97,DALYs (Disability-Adjusted Life Years),Australia,Both,60 to 64,Dysthymia,Number,1990,1469.3032316517554,2186.877884901209,932.741755301306
98,98,DALYs (Disability-Adjusted Life Years),Australia,Female,60 to 64,Dysthymia,Number,1990,883.5363893280139,1304.1632235948116,556.9905197083174
99,99,DALYs (Disability-Adjusted Life Years),Australia,Male,60 to 64,Dysthymia,Number,1990,585.7668423237412,879.8723893308612,360.5422747563193
100,100,DALYs (Disability-Adjusted Life Years),Australia,Both,55 to 59,Dysthymia,Number,1990,1410.3121545981014,2094.4305444961815,900.0223847040628
101,101,DALYs (Disability-Adjusted Life Years),Australia,Male,All Ages,Dysthymia,Number,1990,9123.272700197167,13425.861482947605,6074.86836220514
102,102,DALYs (Disability-Adjusted Life Years),Australia,Female,55 to 59,Dysthymia,Number,1990,839.5026092251184,1225.5691834317877,523.4859524675882
