,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),Australia,Male,75 to 79,Schizophrenia,Rate,1990,132.82245284761942,181.5983482531616,84.63490226381805
1,1,DALYs (Disability-Adjusted Life Years),Australia,Male,15 to 19,Bipolar disorder,Rate,1990,425.99479548174514,662.0083309995968,254.94571336629338
2,2,DALYs (Disability-Adjusted Life Years),Australia,Both,10 to 14,Bipolar disorder,Rate,1990,122.13964051277985,188.5912339341748,72.11191480346584
3,3,DALYs (Disability-Adjusted Life Years),Australia,Female,10 to 14,Bipolar disorder,Rate,1990,103.78206870131099,173.1480667581659,57.6986126947507
4,4,DALYs (Disability-Adjusted Life Years),Australia,Male,10 to 14,Bipolar disorder,Rate,1990,139.52283353596158,217.0091042768585,79.48331006915258
5,5,DALYs (Disability-Adjusted Life Years),Australia,Both,05 to 09,Bipolar disorder,Rate,1990,0.0,0.0,0.0
6,6,DALYs (Disability-Adjusted Life Years),Australia,Female,05 to 09,Bipolar disorder,Rate,1990,0.0,0.0,0.0
7,7,DALYs (Disability-Adjusted Life Years),Australia,Male,05 to 09,Bipolar disorder,Rate,1990,0.0,0.0,0.0
8,8,DALYs (Disability-Adjusted Life Years),Australia,Both,01 to 04,Bipolar disorder,Rate,1990,0.0,0.0,0.0
9,9,DALYs (Disability-Adjusted Life Years),Australia,Female,01 to 04,Bipolar disorder,Rate,1990,0.0,0.0,0.0
10,10,DALYs (Disability-Adjusted Life Years),Australia,Male,01 to 04,Bipolar disorder,Rate,1990,0.0,0.0,0.0
11,11,DALYs (Disability-Adjusted Life Years),Australia,Both,95 plus,Dysthymia,Rate,1990,124.20254073021364,187.89418972890118,79.19139560172631
12,12,DALYs (Disability-Adjusted Life Years),Australia,Female,95 plus,Dysthymia,Rate,1990,125.93449554096658,192.4838328936447,78.76869079440974
13,13,DALYs (Disability-Adjusted Life Years),Australia,Male,95 plus,Dysthymia,Rate,1990,116.60632682334038,178.71874618003207,71.82636639464795
14,14,DALYs (Disability-Adjusted Life Years),Australia,Both,90 to 94,Dysthymia,Rate,1990,137.77723172140236,204.77760899394372,90.08072137799036
15,15,DALYs (Disability-Adjusted Life Years),Australia,Female,90 to 94,Dysthymia,Rate,1990,142.39506812500255,210.79322031502758,93.69981789467842
16,16,DALYs (Disability-Adjusted Life Years),Australia,Male,90 to 94,Dysthymia,Rate,1990,123.32022411669612,184.18925930382719,78.48317052929889
