,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),China,Male,01 to 04,Mental disorders,Number,1990,78524.50401675596,109349.4444488367,51949.570520333626
1,1,DALYs (Disability-Adjusted Life Years),China,Both,45 to 49,Eating disorders,Number,1990,5938.156303399829,9619.136736545996,3327.3783730343926
2,2,DALYs (Disability-Adjusted Life Years),China,Female,45 to 49,Eating disorders,Number,1990,4506.675936356105,7159.671438149827,2560.178251664215
3,3,DALYs (Disability-Adjusted Life Years),China,Male,45 to 49,Eating disorders,Number,1990,1431.4803670437238,2503.4603914324675,709.3043549160147
4,4,DALYs (Disability-Adjusted Life Years),China,Both,40 to 44,Eating disorders,Number,1990,14112.648248511674,22666.684611010824,8494.570872730501
5,5,DALYs (Disability-Adjusted Life Years),China,Female,40 to 44,Eating disorders,Number,1990,9779.933078875047,15327.990510408867,5875.70606224023
6,6,DALYs (Disability-Adjusted Life Years),China,Male,40 to 44,Eating disorders,Number,1990,4332.715169636631,7203.908725826723,2395.4734884515537
7,7,DALYs (Disability-Adjusted Life Years),China,Both,35 to 39,Eating disorders,Number,1990,33268.72244579239,52540.93902543007,19656.240038666798
8,8,DALYs (Disability-Adjusted Life Years),China,Female,35 to 39,Eating disorders,Number,1990,21135.04027235548,32835.575843507766,12677.083085997241
9,9,DALYs (Disability-Adjusted Life Years),China,Male,50 to 54,Eating disorders,Number,1990,0.0,0.0,0.0
10,10,DALYs (Disability-Adjusted Life Years),China,Male,35 to 39,Eating disorders,Number,1990,12133.682173436911,19932.82423121608,6740.025608186228
11,11,DALYs (Disability-Adjusted Life Years),China,Female,30 to 34,Eating disorders,Number,1990,24175.00276007005,36707.20849632739,14856.990118692751
12,12,DALYs (Disability-Adjusted Life Years),China,Male,30 to 34,Eating disorders,Number,1990,15058.175190856917,24921.29566046374,8221.009563674674
13,13,DALYs (Disability-Adjusted Life Years),China,Both,25 to 29,Eating disorders,Number,1990,44867.3016054858,67457.49107552832,27170.621107994746
14,14,DALYs (Disability-Adjusted Life Years),China,Female,25 to 29,Eating disorders,Number,1990,28528.33821829855,42686.34179684895,17328.443500490044
15,15,DALYs (Disability-Adjusted Life Years),China,Male,25 to 29,Eating disorders,Number,1990,16338.963387187256,24985.44533415267,9540.38048452043
16,16,DALYs (Disability-Adjusted Life Years),China,Both,20 to 24,Eating disorders,Number,1990,51219.46621712124,84806.27379081926,28548.86419730084
17,17,DALYs (Disability-Adjusted Life Years),China,Female,20 to 24,Eating disorders,Number,1990,33225.8813780251,53266.291092061794,18775.58230866968
18,18,DALYs (Disability-Adjusted Life Years),China,Male,20 to 24,Eating disorders,Number,1990,17993.584839096147,30966.121077927208,9405.775081196196
19,19,DALYs (Disability-Adjusted Life Years),China,Both,30 to 34,Eating disorders,Number,1990,39233.177950926976,61267.10804966847,23443.043882236583
20,20,DALYs (Disability-Adjusted Life Years),China,Female,50 to 54,Eating disorders,Number,1990,0.0,0.0,0.0
21,21,DALYs (Disability-Adjusted Life Years),China,Both,50 to 54,Eating disorders,Number,1990,0.0,0.0,0.0
22,22,DALYs (Disability-Adjusted Life Years),China,Male,55 to 59,Eating disorders,Number,1990,0.0,0.0,0.0
23,23,DALYs (Disability-Adjusted Life Years),China,Female,80 to 84,Eating disorders,Number,1990,0.0,0.0,0.0
24,24,DALYs (Disability-Adjusted Life Years),China,Male,80 to 84,Eating disorders,Number,1990,0.0,0.0,0.0
25,25,DALYs (Disability-Adjusted Life Years),China,Both,All Ages,Eating disorders,Number,1990,245005.52944951327,360271.6664735149,155621.74730458544
26,26,DALYs (Disability-Adjusted Life Years),China,Female,All Ages,Eating disorders,Number,1990,157671.44664173498,232418.81003720305,99623.89684835877
