,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),China,Male,01 to 04,Mental disorders,Rate,1990,143.52076866936113,199.86011395265598,94.94924401598892
1,1,DALYs (Disability-Adjusted Life Years),China,Male,45 to 49,Eating disorders,Rate,1990,5.2465039135037195,9.175406832911744,2.5996640677772107
2,2,DALYs (Disability-Adjusted Life Years),China,Both,40 to 44,Eating disorders,Rate,1990,20.988187382105444,33.70966352804491,12.633039672496958
3,3,DALYs (Disability-Adjusted Life Years),China,Female,40 to 44,Eating disorders,Rate,1990,30.58178218827425,47.93051888931516,18.373291672709726
4,4,DALYs (Disability-Adjusted Life Years),China,Male,40 to 44,Eating disorders,Rate,1990,12.287449677397792,20.430068094364568,6.79349063819433
5,5,DALYs (Disability-Adjusted Life Years),China,Both,35 to 39,Eating disorders,Rate,1990,36.34569487082461,57.40036880455568,21.474215125547282
6,6,DALYs (Disability-Adjusted Life Years),China,Female,35 to 39,Eating disorders,Rate,1990,47.82707627321693,74.30454686176111,28.68732738914844
7,7,DALYs (Disability-Adjusted Life Years),China,Male,35 to 39,Eating disorders,Rate,1990,25.62897265244853,42.10245495190826,14.236398277117415
8,8,DALYs (Disability-Adjusted Life Years),China,Both,30 to 34,Eating disorders,Rate,1990,44.40036216494165,69.33625895935407,26.530597136991076
9,9,DALYs (Disability-Adjusted Life Years),China,Female,45 to 49,Eating disorders,Rate,1990,18.454101580159506,29.31768466738573,10.483511614045053
10,10,DALYs (Disability-Adjusted Life Years),China,Female,30 to 34,Eating disorders,Rate,1990,57.21657805233798,86.87737829269533,35.16302120771855
11,11,DALYs (Disability-Adjusted Life Years),China,Both,25 to 29,Eating disorders,Rate,1990,40.722356061715324,61.2256113541666,24.660536015886393
12,12,DALYs (Disability-Adjusted Life Years),China,Female,25 to 29,Eating disorders,Rate,1990,53.235694993296136,79.6554308522275,32.33597855724212
13,13,DALYs (Disability-Adjusted Life Years),China,Male,25 to 29,Eating disorders,Rate,1990,28.872624397164305,44.151844975341454,16.858830992399596
14,14,DALYs (Disability-Adjusted Life Years),China,Both,20 to 24,Eating disorders,Rate,1990,38.74523745688463,64.15215656348444,21.59594006231607
15,15,DALYs (Disability-Adjusted Life Years),China,Female,20 to 24,Eating disorders,Rate,1990,51.42423885879354,82.44110803489018,29.059275158688273
16,16,DALYs (Disability-Adjusted Life Years),China,Male,20 to 24,Eating disorders,Rate,1990,26.623955174444752,45.818586283808926,13.917123040349978
17,17,DALYs (Disability-Adjusted Life Years),China,Both,15 to 19,Eating disorders,Rate,1990,34.120156991383546,55.4090730224628,19.83624534171401
18,18,DALYs (Disability-Adjusted Life Years),China,Female,15 to 19,Eating disorders,Rate,1990,44.989915166948364,71.84822870023326,26.179650184715644
19,19,DALYs (Disability-Adjusted Life Years),China,Male,30 to 34,Eating disorders,Rate,1990,32.65668273227281,54.04684401301735,17.82891337477038
20,20,DALYs (Disability-Adjusted Life Years),China,Both,45 to 49,Eating disorders,Rate,1990,11.484582486603609,18.603715304282588,6.435255226841305
21,21,DALYs (Disability-Adjusted Life Years),China,Male,50 to 54,Eating disorders,Rate,1990,0.0,0.0,0.0
22,22,DALYs (Disability-Adjusted Life Years),China,Female,50 to 54,Eating disorders,Rate,1990,0.0,0.0,0.0
23,23,DALYs (Disability-Adjusted Life Years),China,Both,All Ages,Eating disorders,Rate,1990,20.4686431212164,30.098390776326745,13.00120048161634
24,24,DALYs (Disability-Adjusted Life Years),China,Female,All Ages,Eating disorders,Rate,1990,27.208607916482954,40.10740314374657,17.191619701557578
25,25,DALYs (Disability-Adjusted Life Years),China,Male,All Ages,Eating disorders,Rate,1990,14.143428222837086,21.03089289478109,8.911240450703517
26,26,DALYs (Disability-Adjusted Life Years),China,Both,75 to 79,Eating disorders,Rate,1990,0.0,0.0,0.0
27,27,DALYs (Disability-Adjusted Life Years),China,Female,75 to 79,Eating disorders,Rate,1990,0.0,0.0,0.0
28,28,DALYs (Disability-Adjusted Life Years),China,Male,75 to 79,Eating disorders,Rate,1990,0.0,0.0,0.0
29,29,DALYs (Disability-Adjusted Life Years),China,Both,70 to 74,Eating disorders,Rate,1990,0.0,0.0,0.0
30,30,DALYs (Disability-Adjusted Life Years),China,Female,70 to 74,Eating disorders,Rate,1990,0.0,0.0,0.0
31,31,DALYs (Disability-Adjusted Life Years),China,Male,70 to 74,Eating disorders,Rate,1990,0.0,0.0,0.0
32,32,DALYs (Disability-Adjusted Life Years),China,Both,65 to 69,Eating disorders,Rate,1990,0.0,0.0,0.0
33,33,DALYs (Disability-Adjusted Life Years),China,Female,65 to 69,Eating disorders,Rate,1990,0.0,0.0,0.0
