,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),Europe,Male,50 to 54,Eating disorders,Number,1990,0.0,0.0,0.0
1,1,DALYs (Disability-Adjusted Life Years),Europe,Female,10 to 14,Bipolar disorder,Number,1990,22104.793809023788,33945.730750293755,13108.851980519685
2,2,DALYs (Disability-Adjusted Life Years),Europe,Male,10 to 14,Bipolar disorder,Number,1990,20528.788473795463,31597.470008284723,12285.402654446874
3,3,DALYs (Disability-Adjusted Life Years),Europe,Both,05 to 09,Bipolar disorder,Number,1990,0.0,0.0,0.0
4,4,DALYs (Disability-Adjusted Life Years),Europe,Female,05 to 09,Bipolar disorder,Number,1990,0.0,0.0,0.0
5,5,DALYs (Disability-Adjusted Life Years),Europe,Male,05 to 09,Bipolar disorder,Number,1990,0.0,0.0,0.0
6,6,DALYs (Disability-Adjusted Life Years),Europe,Both,01 to 04,Bipolar disorder,Number,1990,0.0,0.0,0.0
7,7,DALYs (Disability-Adjusted Life Years),Europe,Female,01 to 04,Bipolar disorder,Number,1990,0.0,0.0,0.0
8,8,DALYs (Disability-Adjusted Life Years),Europe,Male,01 to 04,Bipolar disorder,Number,1990,0.0,0.0,0.0
9,9,DALYs (Disability-Adjusted Life Years),Europe,Both,95 plus,Dysthymia,Number,1990,453.4973895940732,675.7610407324698,288.1226745560712
10,10,DALYs (Disability-Adjusted Life Years),Europe,Female,95 plus,Dysthymia,Number,1990,375.7079214140423,558.3524944279764,238.29785245075539
11,11,DALYs (Disability-Adjusted Life Years),Europe,Male,95 plus,Dysthymia,Number,1990,77.78946818003087,114.20548995155396,49.449460765185464
12,12,DALYs (Disability-Adjusted Life Years),Europe,Both,90 to 94,Dysthymia,Number,1990,2566.449547457105,3714.985207923559,1728.9467011483066
13,13,DALYs (Disability-Adjusted Life Years),Europe,Female,90 to 94,Dysthymia,Number,1990,2092.8443986678953,3032.765765890554,1405.6929408687533
14,14,DALYs (Disability-Adjusted Life Years),Europe,Male,90 to 94,Dysthymia,Number,1990,473.6051487892095,685.7216179940316,317.7865217495559
15,15,DALYs (Disability-Adjusted Life Years),Europe,Both,85 to 89,Dysthymia,Number,1990,10197.48264949058,15218.471320968667,6610.30926884176
16,16,DALYs (Disability-Adjusted Life Years),Europe,Female,85 to 89,Dysthymia,Number,1990,8123.518227464914,12133.722429383542,5290.9217976373775
17,17,DALYs (Disability-Adjusted Life Years),Europe,Male,85 to 89,Dysthymia,Number,1990,2073.964422025666,3081.9318779056907,1337.6409838437712
18,18,DALYs (Disability-Adjusted Life Years),Europe,Both,80 to 84,Dysthymia,Number,1990,25391.397976791715,37690.23687766888,16541.772345945188
19,19,DALYs (Disability-Adjusted Life Years),Europe,Female,80 to 84,Dysthymia,Number,1990,19673.71648072818,29296.209935017985,12878.951972893545
20,20,DALYs (Disability-Adjusted Life Years),Europe,Male,80 to 84,Dysthymia,Number,1990,5717.681496063537,8498.154228261164,3635.671802755335
21,21,DALYs (Disability-Adjusted Life Years),Europe,Both,All Ages,Dysthymia,Number,1990,1148244.9233723595,1669610.826301476,772505.2515803699
22,22,DALYs (Disability-Adjusted Life Years),Europe,Female,All Ages,Dysthymia,Number,1990,757089.9172698795,1099339.015549857,510292.00694983505
