,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),Europe,Male,50 to 54,Eating disorders,Rate,1990,0.0,0.0,0.0
1,1,DALYs (Disability-Adjusted Life Years),Europe,Female,10 to 14,Bipolar disorder,Rate,1990,76.12948030763593,116.90997269686487,45.14722450382179
2,2,DALYs (Disability-Adjusted Life Years),Europe,Male,10 to 14,Bipolar disorder,Rate,1990,67.61939578798548,104.07832070151285,40.466660054791866
3,3,DALYs (Disability-Adjusted Life Years),Europe,Both,05 to 09,Bipolar disorder,Rate,1990,0.0,0.0,0.0
4,4,DALYs (Disability-Adjusted Life Years),Europe,Female,05 to 09,Bipolar disorder,Rate,1990,0.0,0.0,0.0
5,5,DALYs (Disability-Adjusted Life Years),Europe,Male,05 to 09,Bipolar disorder,Rate,1990,0.0,0.0,0.0
6,6,DALYs (Disability-Adjusted Life Years),Europe,Both,01 to 04,Bipolar disorder,Rate,1990,0.0,0.0,0.0
7,7,DALYs (Disability-Adjusted Life Years),Europe,Female,01 to 04,Bipolar disorder,Rate,1990,0.0,0.0,0.0
8,8,DALYs (Disability-Adjusted Life Years),Europe,Male,01 to 04,Bipolar disorder,Rate,1990,0.0,0.0,0.0
9,9,DALYs (Disability-Adjusted Life Years),Europe,Both,95 plus,Dysthymia,Rate,1990,141.4877092029677,210.83226456371213,89.89206581510929
10,10,DALYs (Disability-Adjusted Life Years),Europe,Female,95 plus,Dysthymia,Rate,1990,146.9960772244147,218.45593800757104,93.23425864811749
11,11,DALYs (Disability-Adjusted Life Years),Europe,Male,95 plus,Dysthymia,Rate,1990,119.80465542349354,175.88948338676948,76.15781090236857
12,12,DALYs (Disability-Adjusted Life Years),Europe,Both,90 to 94,Dysthymia,Rate,1990,157.5665933087399,228.0806821177768,106.1482942387263
13,13,DALYs (Disability-Adjusted Life Years),Europe,Female,90 to 94,Dysthymia,Rate,1990,167.55426819479376,242.80488737407163,112.54054633195246
14,14,DALYs (Disability-Adjusted Life Years),Europe,Male,90 to 94,Dysthymia,Rate,1990,124.7154981445555,180.57260018234984,83.68343221129369
15,15,DALYs (Disability-Adjusted Life Years),Europe,Both,85 to 89,Dysthymia,Rate,1990,176.58104262566104,263.5251880678231,114.4650442556487
16,16,DALYs (Disability-Adjusted Life Years),Europe,Female,85 to 89,Dysthymia,Rate,1990,193.50046073791526,289.02266417199746,126.02862170109331
17,17,DALYs (Disability-Adjusted Life Years),Europe,Male,85 to 89,Dysthymia,Rate,1990,131.53260772442223,195.45877085684376,84.83434186985085
18,18,DALYs (Disability-Adjusted Life Years),Europe,Both,80 to 84,Dysthymia,Rate,1990,196.92114472550483,292.3038974738556,128.28851523376468
19,19,DALYs (Disability-Adjusted Life Years),Europe,Female,80 to 84,Dysthymia,Rate,1990,222.8402787492635,331.83235077171935,145.87733082609458
20,20,DALYs (Disability-Adjusted Life Years),Europe,Male,80 to 84,Dysthymia,Rate,1990,140.63637375132456,209.0269622512137,89.42570495426723
21,21,DALYs (Disability-Adjusted Life Years),Europe,Both,All Ages,Dysthymia,Rate,1990,142.5690849524682,207.30323547474057,95.91626716304172
22,22,DALYs (Disability-Adjusted Life Years),Europe,Female,All Ages,Dysthymia,Rate,1990,181.92138640823555,264.16053533335224,122.61823498075043
23,23,DALYs (Disability-Adjusted Life Years),Europe,Male,All Ages,Dysthymia,Rate,1990,100.49399451129992,146.6016676517863,66.98658818823117
24,24,DALYs (Disability-Adjusted Life Years),Europe,Both,75 to 79,Dysthymia,Rate,1990,217.03033701549046,317.59775295318934,143.6573419385901
25,25,DALYs (Disability-Adjusted Life Years),Europe,Female,75 to 79,Dysthymia,Rate,1990,252.24967800144844,368.3697767175338,166.13704004037757
26,26,DALYs (Disability-Adjusted Life Years),Europe,Both,10 to 14,Bipolar disorder,Rate,1990,71.77962069536791,109.85356138028466,43.06513579370725
27,27,DALYs (Disability-Adjusted Life Years),Europe,Male,15 to 19,Bipolar disorder,Rate,1990,225.72844216398525,348.46043283856454,133.9693871234109
28,28,DALYs (Disability-Adjusted Life Years),Europe,Female,15 to 19,Bipolar disorder,Rate,1990,258.6154361197408,398.2714069411305,153.96253286710294
29,29,DALYs (Disability-Adjusted Life Years),Europe,Both,15 to 19,Bipolar disorder,Rate,1990,241.80466077322842,370.9201025917362,144.68425261327678
30,30,DALYs (Disability-Adjusted Life Years),Europe,Female,60 to 64,Bipolar disorder,Rate,1990,194.15382480314997,286.71199486742285,120.00974252048799
31,31,DALYs (Disability-Adjusted Life Years),Europe,Male,60 to 64,Bipolar disorder,Rate,1990,158.9827174865193,238.10491231912118,99.03621783041271
32,32,DALYs (Disability-Adjusted Life Years),Europe,Both,55 to 59,Bipolar disorder,Rate,1990,194.3879888660695,292.9546862263656,119.30186755617086
33,33,DALYs (Disability-Adjusted Life Years),Europe,Female,55 to 59,Bipolar disorder,Rate,1990,215.2521384557309,324.46608620839265,131.9890314981028
34,34,DALYs (Disability-Adjusted Life Years),Europe,Male,55 to 59,Bipolar disorder,Rate,1990,171.3501786326146,263.22043649239305,104.56463018922442
35,35,DALYs (Disability-Adjusted Life Years),Europe,Both,50 to 54,Bipolar disorder,Rate,1990,204.52210831902562,308.7193528233782,126.72486984202814
36,36,DALYs (Disability-Adjusted Life Years),Europe,Female,50 to 54,Bipolar disorder,Rate,1990,228.2021317348951,340.816681737578,141.75502251167848
37,37,DALYs (Disability-Adjusted Life Years),Europe,Male,50 to 54,Bipolar disorder,Rate,1990,179.29744863940846,272.2703033078484,110.66672921416826
38,38,DALYs (Disability-Adjusted Life Years),Europe,Both,45 to 49,Bipolar disorder,Rate,1990,218.78815569860592,334.2555304947759,135.6478923508634
39,39,DALYs (Disability-Adjusted Life Years),Europe,Female,45 to 49,Bipolar disorder,Rate,1990,246.46208051666864,374.9613640199025,152.89867822523792
40,40,DALYs (Disability-Adjusted Life Years),Europe,Male,45 to 49,Bipolar disorder,Rate,1990,190.41486216769826,292.85302475967336,117.1067183137104
41,41,DALYs (Disability-Adjusted Life Years),Europe,Both,40 to 44,Bipolar disorder,Rate,1990,221.81682211010445,337.81086027056017,136.5687212209318
42,42,DALYs (Disability-Adjusted Life Years),Europe,Male,75 to 79,Dysthymia,Rate,1990,150.88937742693324,222.32093310366798,99.42779777383251
43,43,DALYs (Disability-Adjusted Life Years),Europe,Female,40 to 44,Bipolar disorder,Rate,1990,250.53675479021703,381.23176771633047,156.0005745672353
