,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),France,Female,50 to 54,Eating disorders,Number,1990,0.0,0.0,0.0
1,1,DALYs (Disability-Adjusted Life Years),France,Female,10 to 14,Bipolar disorder,Number,1990,1710.472672470089,2817.7251654168927,916.2695967083192
2,2,DALYs (Disability-Adjusted Life Years),France,Male,10 to 14,Bipolar disorder,Number,1990,1681.163801182698,2692.0800352202345,903.162295089928
3,3,DALYs (Disability-Adjusted Life Years),France,Both,05 to 09,Bipolar disorder,Number,1990,0.0,0.0,0.0
4,4,DALYs (Disability-Adjusted Life Years),France,Female,05 to 09,Bipolar disorder,Number,1990,0.0,0.0,0.0
5,5,DALYs (Disability-Adjusted Life Years),France,Male,05 to 09,Bipolar disorder,Number,1990,0.0,0.0,0.0
6,6,DALYs (Disability-Adjusted Life Years),France,Both,01 to 04,Bipolar disorder,Number,1990,0.0,0.0,0.0
7,7,DALYs (Disability-Adjusted Life Years),France,Female,01 to 04,Bipolar disorder,Number,1990,0.0,0.0,0.0
8,8,DALYs (Disability-Adjusted Life Years),France,Male,01 to 04,Bipolar disorder,Number,1990,0.0,0.0,0.0
9,9,DALYs (Disability-Adjusted Life Years),France,Both,95 plus,Dysthymia,Number,1990,43.199331090782756,64.56580348688952,26.179100198374986
10,10,DALYs (Disability-Adjusted Life Years),France,Female,95 plus,Dysthymia,Number,1990,38.697989108547546,58.28761478819208,23.345160819467345
11,11,DALYs (Disability-Adjusted Life Years),France,Male,95 plus,Dysthymia,Number,1990,4.501341982235201,6.878027754255623,2.7798624370691383
12,12,DALYs (Disability-Adjusted Life Years),France,Both,90 to 94,Dysthymia,Number,1990,264.4398034818612,391.4496447444116,169.0872678678667
13,13,DALYs (Disability-Adjusted Life Years),France,Female,90 to 94,Dysthymia,Number,1990,222.0510047748901,327.61968452060034,140.12361731861648
14,14,DALYs (Disability-Adjusted Life Years),France,Male,90 to 94,Dysthymia,Number,1990,42.38879870697111,63.67394063145153,26.969938424245466
15,15,DALYs (Disability-Adjusted Life Years),France,Both,85 to 89,Dysthymia,Number,1990,990.3842547188583,1500.672191309984,624.0988091556916
16,16,DALYs (Disability-Adjusted Life Years),France,Female,85 to 89,Dysthymia,Number,1990,771.039249402705,1161.862589159073,481.2818935838554
17,17,DALYs (Disability-Adjusted Life Years),France,Male,85 to 89,Dysthymia,Number,1990,219.3450053161533,336.92696297000975,137.39653259687455
