,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),France,Female,50 to 54,Eating disorders,Rate,1990,0.0,0.0,0.0
1,1,DALYs (Disability-Adjusted Life Years),France,Female,10 to 14,Bipolar disorder,Rate,1990,91.45205303149721,150.6523637608108,48.989228005794466
2,2,DALYs (Disability-Adjusted Life Years),France,Male,10 to 14,Bipolar disorder,Rate,1990,85.52899886181281,136.95923627803492,45.94826920163032
3,3,DALYs (Disability-Adjusted Life Years),France,Both,05 to 09,Bipolar disorder,Rate,1990,0.0,0.0,0.0
4,4,DALYs (Disability-Adjusted Life Years),France,Female,05 to 09,Bipolar disorder,Rate,1990,0.0,0.0,0.0
5,5,DALYs (Disability-Adjusted Life Years),France,Male,05 to 09,Bipolar disorder,Rate,1990,0.0,0.0,0.0
6,6,DALYs (Disability-Adjusted Life Years),France,Both,01 to 04,Bipolar disorder,Rate,1990,0.0,0.0,0.0
7,7,DALYs (Disability-Adjusted Life Years),France,Female,01 to 04,Bipolar disorder,Rate,1990,0.0,0.0,0.0
8,8,DALYs (Disability-Adjusted Life Years),France,Male,01 to 04,Bipolar disorder,Rate,1990,0.0,0.0,0.0
9,9,DALYs (Disability-Adjusted Life Years),France,Both,95 plus,Dysthymia,Rate,1990,133.85344938082872,200.05762336002655,81.11613709654169
10,10,DALYs (Disability-Adjusted Life Years),France,Female,95 plus,Dysthymia,Rate,1990,136.21788373812865,205.1738531508616,82.175546471786
11,11,DALYs (Disability-Adjusted Life Years),France,Male,95 plus,Dysthymia,Rate,1990,116.4728682917788,177.9699529363053,71.92933857943413
12,12,DALYs (Disability-Adjusted Life Years),France,Both,90 to 94,Dysthymia,Rate,1990,145.01828526996056,214.67024064803337,92.7271360979607
13,13,DALYs (Disability-Adjusted Life Years),France,Female,90 to 94,Dysthymia,Rate,1990,151.47393810967625,223.48849025427532,95.58648995505123
14,14,DALYs (Disability-Adjusted Life Years),France,Male,90 to 94,Dysthymia,Rate,1990,118.55101453774107,178.08030639549725,75.42826547922171
15,15,DALYs (Disability-Adjusted Life Years),France,Both,85 to 89,Dysthymia,Rate,1990,156.36804892161354,236.935493984279,98.53661612348705
16,16,DALYs (Disability-Adjusted Life Years),France,Female,85 to 89,Dysthymia,Rate,1990,169.93486461865888,256.07122068971404,106.07316487836545
17,17,DALYs (Disability-Adjusted Life Years),France,Male,85 to 89,Dysthymia,Rate,1990,122.10182015843048,187.55565179062978,76.48392398703066
18,18,DALYs (Disability-Adjusted Life Years),France,Both,80 to 84,Dysthymia,Rate,1990,169.4243808156825,255.62172763660232,106.26942333694286
19,19,DALYs (Disability-Adjusted Life Years),France,Female,80 to 84,Dysthymia,Rate,1990,190.76301349257403,291.23652558693976,119.45266766489807
20,20,DALYs (Disability-Adjusted Life Years),France,Male,80 to 84,Dysthymia,Rate,1990,128.010258787454,196.80290938796531,80.67337985448611
21,21,DALYs (Disability-Adjusted Life Years),France,Both,All Ages,Dysthymia,Rate,1990,139.25846590866368,203.6687468412683,92.41980079313775
22,22,DALYs (Disability-Adjusted Life Years),France,Female,All Ages,Dysthymia,Rate,1990,177.9496443102314,257.7418279130976,118.97318018355469
23,23,DALYs (Disability-Adjusted Life Years),France,Male,All Ages,Dysthymia,Rate,1990,98.56349888020328,145.2769116770917,64.79595676546333
24,24,DALYs (Disability-Adjusted Life Years),France,Both,75 to 79,Dysthymia,Rate,1990,182.90392746686408,273.4630108445561,117.08728504434508
25,25,DALYs (Disability-Adjusted Life Years),France,Female,75 to 79,Dysthymia,Rate,1990,212.60363887371682,312.46517505629845,136.78151877409405
26,26,DALYs (Disability-Adjusted Life Years),France,Both,10 to 14,Bipolar disorder,Rate,1990,88.41698283546896,137.93401798167636,49.81659532860833
27,27,DALYs (Disability-Adjusted Life Years),France,Male,15 to 19,Bipolar disorder,Rate,1990,278.3406227395216,438.6093020757343,161.10580595830905
