,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),Global,Male,01 to 04,Depressive disorders,Number,1990,656.0847521355017,1317.2452487379487,288.4146579241364
1,1,DALYs (Disability-Adjusted Life Years),Global,Both,85 to 89,Attention-deficit/hyperactivity disorder,Number,1990,1.1234912526068566,2.736615921670754,0.3295154521688218
2,2,DALYs (Disability-Adjusted Life Years),Global,Male,90 to 94,Attention-deficit/hyperactivity disorder,Number,1990,0.006388178725034224,0.020473803358616142,0.0009491286986632149
3,3,DALYs (Disability-Adjusted Life Years),Global,Female,90 to 94,Attention-deficit/hyperactivity disorder,Number,1990,0.02626305755150039,0.0826752776524144,0.004585260466292339
4,4,DALYs (Disability-Adjusted Life Years),Global,Both,90 to 94,Attention-deficit/hyperactivity disorder,Number,1990,0.032651236276534615,0.10214948122415274,0.005541433683721794
5,5,DALYs (Disability-Adjusted Life Years),Global,Male,95 plus,Attention-deficit/hyperactivity disorder,Number,1990,7.27712048060234e-05,0.00034917284161211965,3.3018931901784624e-06
6,6,DALYs (Disability-Adjusted Life Years),Global,Female,95 plus,Attention-deficit/hyperactivity disorder,Number,1990,0.000500031675695033,0.002095326576853584,3.529439007510029e-05
7,7,DALYs (Disability-Adjusted Life Years),Global,Both,95 plus,Attention-deficit/hyperactivity disorder,Number,1990,0.0005728028805010564,0.002402689106150198,4.034398622462041e-05
8,8,DALYs (Disability-Adjusted Life Years),Global,Male,01 to 04,Conduct disorder,Number,1990,0.0,0.0,0.0
9,9,DALYs (Disability-Adjusted Life Years),Global,Female,01 to 04,Conduct disorder,Number,1990,0.0,0.0,0.0
10,10,DALYs (Disability-Adjusted Life Years),Global,Both,01 to 04,Conduct disorder,Number,1990,0.0,0.0,0.0
11,11,DALYs (Disability-Adjusted Life Years),Global,Male,05 to 09,Conduct disorder,Number,1990,617717.4987243443,999500.2500065368,348969.660823303
12,12,DALYs (Disability-Adjusted Life Years),Global,Female,05 to 09,Conduct disorder,Number,1990,297800.41966853896,499130.724831131,160841.88209395466
13,13,DALYs (Disability-Adjusted Life Years),Global,Both,05 to 09,Conduct disorder,Number,1990,915517.9183928831,1498985.5975851943,513268.81798416725
14,14,DALYs (Disability-Adjusted Life Years),Global,Male,10 to 14,Conduct disorder,Number,1990,1489999.247604394,2415864.1361807296,856764.520623578
15,15,DALYs (Disability-Adjusted Life Years),Global,Female,10 to 14,Conduct disorder,Number,1990,901579.3234714415,1551822.3557485556,499891.18610551633
16,16,DALYs (Disability-Adjusted Life Years),Global,Both,10 to 14,Conduct disorder,Number,1990,2391578.5710758357,3968796.239421608,1372314.0824698578
17,17,DALYs (Disability-Adjusted Life Years),Global,Male,15 to 19,Conduct disorder,Number,1990,1131080.2661320658,1823694.8766422498,651199.9882855219
18,18,DALYs (Disability-Adjusted Life Years),Global,Female,15 to 19,Conduct disorder,Number,1990,586546.8909049471,951519.5481244136,320961.22817125084
19,19,DALYs (Disability-Adjusted Life Years),Global,Both,15 to 19,Conduct disorder,Number,1990,1717627.1570370125,2768552.431223717,971757.586392482
20,20,DALYs (Disability-Adjusted Life Years),Global,Male,20 to 24,Conduct disorder,Number,1990,202995.7917409129,335763.6308908153,109656.9522467498
21,21,DALYs (Disability-Adjusted Life Years),Global,Female,20 to 24,Conduct disorder,Number,1990,67357.4693135961,116999.31167949188,31984.14600419205
22,22,DALYs (Disability-Adjusted Life Years),Global,Both,20 to 24,Conduct disorder,Number,1990,270353.2610545089,450672.8125119786,141655.80202453706
23,23,DALYs (Disability-Adjusted Life Years),Global,Male,25 to 29,Conduct disorder,Number,1990,0.0,0.0,0.0
24,24,DALYs (Disability-Adjusted Life Years),Global,Female,25 to 29,Conduct disorder,Number,1990,0.0,0.0,0.0
25,25,DALYs (Disability-Adjusted Life Years),Global,Both,25 to 29,Conduct disorder,Number,1990,0.0,0.0,0.0
26,26,DALYs (Disability-Adjusted Life Years),Global,Female,85 to 89,Attention-deficit/hyperactivity disorder,Number,1990,0.8057745637622761,1.9719769978236343,0.2378796013452948
27,27,DALYs (Disability-Adjusted Life Years),Global,Male,85 to 89,Attention-deficit/hyperactivity disorder,Number,1990,0.3177166888445805,0.7933065288961626,0.08789975271363483
28,28,DALYs (Disability-Adjusted Life Years),Global,Both,80 to 84,Attention-deficit/hyperactivity disorder,Number,1990,21.023998611653308,44.20012974159568,7.95594291010685
29,29,DALYs (Disability-Adjusted Life Years),Global,Female,80 to 84,Attention-deficit/hyperactivity disorder,Number,1990,12.076127357599134,25.24373189943252,4.376842580719797
30,30,DALYs (Disability-Adjusted Life Years),Global,Both,40 to 44,Attention-deficit/hyperactivity disorder,Number,1990,24198.281191246493,38802.28425875721,14329.8692635916
31,31,DALYs (Disability-Adjusted Life Years),Global,Male,45 to 49,Attention-deficit/hyperactivity disorder,Number,1990,11294.351970027725,18293.81623737381,6667.437596673592
32,32,DALYs (Disability-Adjusted Life Years),Global,Female,45 to 49,Attention-deficit/hyperactivity disorder,Number,1990,4886.55103286111,7838.583770745352,2920.419427848098
33,33,DALYs (Disability-Adjusted Life Years),Global,Both,45 to 49,Attention-deficit/hyperactivity disorder,Number,1990,16180.903002888834,25911.393508876183,9696.247469843318
34,34,DALYs (Disability-Adjusted Life Years),Global,Male,50 to 54,Attention-deficit/hyperactivity disorder,Number,1990,8235.895382112307,13486.238609972137,4886.531047093634
35,35,DALYs (Disability-Adjusted Life Years),Global,Female,50 to 54,Attention-deficit/hyperactivity disorder,Number,1990,3682.591023602019,6026.132137094097,2197.2702534691475
36,36,DALYs (Disability-Adjusted Life Years),Global,Both,50 to 54,Attention-deficit/hyperactivity disorder,Number,1990,11918.486405714326,19582.252368349982,7087.670224796337
37,37,DALYs (Disability-Adjusted Life Years),Global,Male,55 to 59,Attention-deficit/hyperactivity disorder,Number,1990,5133.9177792435685,8310.40547619824,2992.981874320342
38,38,DALYs (Disability-Adjusted Life Years),Global,Female,55 to 59,Attention-deficit/hyperactivity disorder,Number,1990,2399.173412737355,3925.53936934774,1375.4676288631354
39,39,DALYs (Disability-Adjusted Life Years),Global,Both,55 to 59,Attention-deficit/hyperactivity disorder,Number,1990,7533.091191980924,12243.505820786562,4385.868330025861
40,40,DALYs (Disability-Adjusted Life Years),Global,Male,60 to 64,Attention-deficit/hyperactivity disorder,Number,1990,2715.8088091158593,4528.7086455119515,1560.3566220954904
41,41,DALYs (Disability-Adjusted Life Years),Global,Female,60 to 64,Attention-deficit/hyperactivity disorder,Number,1990,1376.3267175530075,2241.769983276079,791.1936712624555
42,42,DALYs (Disability-Adjusted Life Years),Global,Male,30 to 34,Conduct disorder,Number,1990,0.0,0.0,0.0
43,43,DALYs (Disability-Adjusted Life Years),Global,Both,60 to 64,Attention-deficit/hyperactivity disorder,Number,1990,4092.135526668866,6794.561911956887,2350.9874296083426
44,44,DALYs (Disability-Adjusted Life Years),Global,Female,65 to 69,Attention-deficit/hyperactivity disorder,Number,1990,637.4239249752201,1085.9177268936267,349.9719359947247
45,45,DALYs (Disability-Adjusted Life Years),Global,Both,65 to 69,Attention-deficit/hyperactivity disorder,Number,1990,1746.5977701358975,2922.8134812803137,976.3017099710817
46,46,DALYs (Disability-Adjusted Life Years),Global,Male,70 to 74,Attention-deficit/hyperactivity disorder,Number,1990,360.7687430169983,610.2962915764139,190.5697858805016
47,47,DALYs (Disability-Adjusted Life Years),Global,Female,70 to 74,Attention-deficit/hyperactivity disorder,Number,1990,237.80134534763093,427.6992448578873,116.5644868415263
48,48,DALYs (Disability-Adjusted Life Years),Global,Both,70 to 74,Attention-deficit/hyperactivity disorder,Number,1990,598.5700883646293,1018.4877404457719,312.22234401959787
49,49,DALYs (Disability-Adjusted Life Years),Global,Male,75 to 79,Attention-deficit/hyperactivity disorder,Number,1990,93.75094046433298,171.6561413026596,42.04352513559769
50,50,DALYs (Disability-Adjusted Life Years),Global,Female,75 to 79,Attention-deficit/hyperactivity disorder,Number,1990,79.93611987115106,157.1867493024523,34.833487909789035
51,51,DALYs (Disability-Adjusted Life Years),Global,Both,75 to 79,Attention-deficit/hyperactivity disorder,Number,1990,173.68706033548403,326.265551004295,80.10158809767844
52,52,DALYs (Disability-Adjusted Life Years),Global,Male,All Ages,Attention-deficit/hyperactivity disorder,Number,1990,492797.98955266026,779089.9135674251,298857.19562812225
53,53,DALYs (Disability-Adjusted Life Years),Global,Female,All Ages,Attention-deficit/hyperactivity disorder,Number,1990,199513.6825525188,319059.11621571385,119733.86252869588
54,54,DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Attention-deficit/hyperactivity disorder,Number,1990,692311.6721051789,1099322.0799917907,418166.2664401189
55,55,DALYs (Disability-Adjusted Life Years),Global,Male,80 to 84,Attention-deficit/hyperactivity disorder,Number,1990,8.947871254054174,18.694092359234592,3.409764682492656
56,56,DALYs (Disability-Adjusted Life Years),Global,Male,65 to 69,Attention-deficit/hyperactivity disorder,Number,1990,1109.1738451606773,1832.0499140647519,608.8896510445499
57,57,DALYs (Disability-Adjusted Life Years),Global,Female,40 to 44,Attention-deficit/hyperactivity disorder,Number,1990,7180.7569101174095,11564.302792190418,4204.942039064897
58,58,DALYs (Disability-Adjusted Life Years),Global,Female,30 to 34,Conduct disorder,Number,1990,0.0,0.0,0.0
59,59,DALYs (Disability-Adjusted Life Years),Global,Male,35 to 39,Conduct disorder,Number,1990,0.0,0.0,0.0
60,60,DALYs (Disability-Adjusted Life Years),Global,Female,80 to 84,Conduct disorder,Number,1990,0.0,0.0,0.0
61,61,DALYs (Disability-Adjusted Life Years),Global,Both,80 to 84,Conduct disorder,Number,1990,0.0,0.0,0.0
62,62,DALYs (Disability-Adjusted Life Years),Global,Male,85 to 89,Conduct disorder,Number,1990,0.0,0.0,0.0
63,63,DALYs (Disability-Adjusted Life Years),Global,Female,85 to 89,Conduct disorder,Number,1990,0.0,0.0,0.0
64,64,DALYs (Disability-Adjusted Life Years),Global,Both,85 to 89,Conduct disorder,Number,1990,0.0,0.0,0.0
65,65,DALYs (Disability-Adjusted Life Years),Global,Male,90 to 94,Conduct disorder,Number,1990,0.0,0.0,0.0
66,66,DALYs (Disability-Adjusted Life Years),Global,Female,90 to 94,Conduct disorder,Number,1990,0.0,0.0,0.0
67,67,DALYs (Disability-Adjusted Life Years),Global,Both,90 to 94,Conduct disorder,Number,1990,0.0,0.0,0.0
68,68,DALYs (Disability-Adjusted Life Years),Global,Male,95 plus,Conduct disorder,Number,1990,0.0,0.0,0.0
69,69,DALYs (Disability-Adjusted Life Years),Global,Female,95 plus,Conduct disorder,Number,1990,0.0,0.0,0.0
70,70,DALYs (Disability-Adjusted Life Years),Global,Both,95 plus,Conduct disorder,Number,1990,0.0,0.0,0.0
71,71,DALYs (Disability-Adjusted Life Years),Global,Male,01 to 04,Idiopathic developmental intellectual disability,Number,1990,233079.6012600353,396729.0321021964,117030.32829393305
72,72,DALYs (Disability-Adjusted Life Years),Global,Female,01 to 04,Idiopathic developmental intellectual disability,Number,1990,217248.54287952173,357444.5555466364,113354.43893787824
73,73,DALYs (Disability-Adjusted Life Years),Global,Both,01 to 04,Idiopathic developmental intellectual disability,Number,1990,450328.144139557,751672.9695540838,230371.33736940692
74,74,DALYs (Disability-Adjusted Life Years),Global,Male,05 to 09,Idiopathic developmental intellectual disability,Number,1990,286537.6949203746,475813.683044185,148887.2115968122
75,75,DALYs (Disability-Adjusted Life Years),Global,Female,05 to 09,Idiopathic developmental intellectual disability,Number,1990,261983.73212120013,430600.23659155273,139908.15906746624
76,76,DALYs (Disability-Adjusted Life Years),Global,Both,05 to 09,Idiopathic developmental intellectual disability,Number,1990,548521.4270415747,897217.6781275073,288726.34417279484
77,77,DALYs (Disability-Adjusted Life Years),Global,Male,10 to 14,Idiopathic developmental intellectual disability,Number,1990,243617.53001007412,404194.4948301356,124339.82743931207
78,78,DALYs (Disability-Adjusted Life Years),Global,Female,10 to 14,Idiopathic developmental intellectual disability,Number,1990,216768.36657796145,355478.4460240861,112414.62709818217
79,79,DALYs (Disability-Adjusted Life Years),Global,Both,10 to 14,Idiopathic developmental intellectual disability,Number,1990,460385.8965880354,759617.3616181023,238408.47603647105
80,80,DALYs (Disability-Adjusted Life Years),Global,Male,15 to 19,Idiopathic developmental intellectual disability,Number,1990,214981.93414007023,359272.56807762804,108561.57778982584
81,81,DALYs (Disability-Adjusted Life Years),Global,Female,15 to 19,Idiopathic developmental intellectual disability,Number,1990,188414.52466467922,312238.0448628484,96608.55419376178
82,82,DALYs (Disability-Adjusted Life Years),Global,Both,15 to 19,Idiopathic developmental intellectual disability,Number,1990,403396.45880474953,671373.7225692415,205299.1698302485
