,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),Global,Male,01 to 04,Depressive disorders,Rate,1990,0.2489328201148249,0.4997914880415769,0.109430792174057
1,1,DALYs (Disability-Adjusted Life Years),Global,Both,85 to 89,Attention-deficit/hyperactivity disorder,Rate,1990,0.007298218415663736,0.017777103889143525,0.002140538019930446
2,2,DALYs (Disability-Adjusted Life Years),Global,Male,90 to 94,Attention-deficit/hyperactivity disorder,Rate,1990,0.0004982471701153306,0.0015968580442109654,7.402746675370447e-05
3,3,DALYs (Disability-Adjusted Life Years),Global,Female,90 to 94,Attention-deficit/hyperactivity disorder,Rate,1990,0.0008542005412409722,0.002688996388918377,0.00014913465290007668
4,4,DALYs (Disability-Adjusted Life Years),Global,Both,90 to 94,Attention-deficit/hyperactivity disorder,Rate,1990,0.0007494474422615597,0.0023446483552233693,0.00012719314103619374
5,5,DALYs (Disability-Adjusted Life Years),Global,Male,95 plus,Attention-deficit/hyperactivity disorder,Rate,1990,3.371313930806994e-05,0.00016176333322008796,1.5296872629438733e-06
6,6,DALYs (Disability-Adjusted Life Years),Global,Female,95 plus,Attention-deficit/hyperactivity disorder,Rate,1990,7.860384422711345e-05,0.0003293805809861939,5.548197993053105e-06
7,7,DALYs (Disability-Adjusted Life Years),Global,Both,95 plus,Attention-deficit/hyperactivity disorder,Rate,1990,6.723072937694742e-05,0.00028200720801407664,4.735233903646104e-06
8,8,DALYs (Disability-Adjusted Life Years),Global,Male,01 to 04,Conduct disorder,Rate,1990,0.0,0.0,0.0
9,9,DALYs (Disability-Adjusted Life Years),Global,Female,01 to 04,Conduct disorder,Rate,1990,0.0,0.0,0.0
10,10,DALYs (Disability-Adjusted Life Years),Global,Both,01 to 04,Conduct disorder,Rate,1990,0.0,0.0,0.0
11,11,DALYs (Disability-Adjusted Life Years),Global,Male,05 to 09,Conduct disorder,Rate,1990,205.65123566517482,332.75479792295977,116.17938961770399
12,12,DALYs (Disability-Adjusted Life Years),Global,Female,05 to 09,Conduct disorder,Rate,1990,104.708278790957,175.49713041681056,56.5528975758366
13,13,DALYs (Disability-Adjusted Life Years),Global,Both,05 to 09,Conduct disorder,Rate,1990,156.5573919126015,256.33280458830035,87.77111390099655
14,14,DALYs (Disability-Adjusted Life Years),Global,Male,10 to 14,Conduct disorder,Rate,1990,540.4302868858905,876.2461795149402,310.75283857941133
15,15,DALYs (Disability-Adjusted Life Years),Global,Female,10 to 14,Conduct disorder,Rate,1990,343.03392923105616,590.4391397435178,190.1991686072425
16,16,DALYs (Disability-Adjusted Life Years),Global,Both,10 to 14,Conduct disorder,Rate,1990,444.0928426722066,736.9667989451209,254.82535647950286
17,17,DALYs (Disability-Adjusted Life Years),Global,Male,15 to 19,Conduct disorder,Rate,1990,422.5493760327234,681.296593419022,243.27552779568668
18,18,DALYs (Disability-Adjusted Life Years),Global,Female,15 to 19,Conduct disorder,Rate,1990,226.4760153603937,367.39834297691596,123.9287449452747
19,19,DALYs (Disability-Adjusted Life Years),Global,Both,15 to 19,Conduct disorder,Rate,1990,326.1305740165685,525.6726350016019,184.5102752112029
20,20,DALYs (Disability-Adjusted Life Years),Global,Male,20 to 24,Conduct disorder,Rate,1990,81.02178208230369,134.01345663322846,43.76741809547128
21,21,DALYs (Disability-Adjusted Life Years),Global,Female,20 to 24,Conduct disorder,Rate,1990,27.321141901996693,47.456575037716156,12.973221834186788
22,22,DALYs (Disability-Adjusted Life Years),Global,Both,20 to 24,Conduct disorder,Rate,1990,54.38779365369653,90.66323016274099,28.497331603505412
23,23,DALYs (Disability-Adjusted Life Years),Global,Male,25 to 29,Conduct disorder,Rate,1990,0.0,0.0,0.0
24,24,DALYs (Disability-Adjusted Life Years),Global,Female,25 to 29,Conduct disorder,Rate,1990,0.0,0.0,0.0
25,25,DALYs (Disability-Adjusted Life Years),Global,Both,25 to 29,Conduct disorder,Rate,1990,0.0,0.0,0.0
26,26,DALYs (Disability-Adjusted Life Years),Global,Female,85 to 89,Attention-deficit/hyperactivity disorder,Rate,1990,0.00788612728519806,0.019299767339029498,0.00232813109165682
27,27,DALYs (Disability-Adjusted Life Years),Global,Male,85 to 89,Attention-deficit/hyperactivity disorder,Rate,1990,0.006137759829559684,0.01532536727388644,0.0016980775331505858
28,28,DALYs (Disability-Adjusted Life Years),Global,Both,80 to 84,Attention-deficit/hyperactivity disorder,Rate,1990,0.058640156154232174,0.12328304229661802,0.02219072324064113
29,29,DALYs (Disability-Adjusted Life Years),Global,Female,80 to 84,Attention-deficit/hyperactivity disorder,Rate,1990,0.054064900592185286,0.11301635162532213,0.019595152653416933
30,30,DALYs (Disability-Adjusted Life Years),Global,Both,40 to 44,Attention-deficit/hyperactivity disorder,Rate,1990,8.372572497286939,13.425537766471656,4.9581153445503965
31,31,DALYs (Disability-Adjusted Life Years),Global,Male,45 to 49,Attention-deficit/hyperactivity disorder,Rate,1990,9.459774412516275,15.322293409026706,5.584424475298785
32,32,DALYs (Disability-Adjusted Life Years),Global,Female,45 to 49,Attention-deficit/hyperactivity disorder,Rate,1990,4.264156364250659,6.840191916130501,2.5484487946191248
33,33,DALYs (Disability-Adjusted Life Years),Global,Both,45 to 49,Attention-deficit/hyperactivity disorder,Rate,1990,6.915228401819554,11.073745655067166,4.1438828155981495
34,34,DALYs (Disability-Adjusted Life Years),Global,Male,50 to 54,Attention-deficit/hyperactivity disorder,Rate,1990,7.590604433896225,12.429577822439734,4.503666269608122
35,35,DALYs (Disability-Adjusted Life Years),Global,Female,50 to 54,Attention-deficit/hyperactivity disorder,Rate,1990,3.4840831690652285,5.701297108163928,2.0788277218227647
36,36,DALYs (Disability-Adjusted Life Years),Global,Both,50 to 54,Attention-deficit/hyperactivity disorder,Rate,1990,5.564218633416952,9.14209487708148,3.3089224075817243
37,37,DALYs (Disability-Adjusted Life Years),Global,Male,55 to 59,Attention-deficit/hyperactivity disorder,Rate,1990,5.473266111117486,8.8597173968031,3.1908158580443904
38,38,DALYs (Disability-Adjusted Life Years),Global,Female,55 to 59,Attention-deficit/hyperactivity disorder,Rate,1990,2.577933138771816,4.2180269146317,1.4779521825846222
39,39,DALYs (Disability-Adjusted Life Years),Global,Both,55 to 59,Attention-deficit/hyperactivity disorder,Rate,1990,4.03128692434304,6.552036032166454,2.3470701734694024
40,40,DALYs (Disability-Adjusted Life Years),Global,Male,60 to 64,Attention-deficit/hyperactivity disorder,Rate,1990,3.4306516678165138,5.720734764402867,1.9710666045461205
41,41,DALYs (Disability-Adjusted Life Years),Global,Female,60 to 64,Attention-deficit/hyperactivity disorder,Rate,1990,1.6661383726349035,2.713817107610954,0.9577944822723328
42,42,DALYs (Disability-Adjusted Life Years),Global,Male,30 to 34,Conduct disorder,Rate,1990,0.0,0.0,0.0
43,43,DALYs (Disability-Adjusted Life Years),Global,Both,60 to 64,Attention-deficit/hyperactivity disorder,Rate,1990,2.5296190338594617,4.200167132102294,1.4533004861505003
44,44,DALYs (Disability-Adjusted Life Years),Global,Female,65 to 69,Attention-deficit/hyperactivity disorder,Rate,1990,0.9577093421363008,1.6315571334694925,0.5258217952843632
45,45,DALYs (Disability-Adjusted Life Years),Global,Both,65 to 69,Attention-deficit/hyperactivity disorder,Rate,1990,1.4055530315934626,2.3520981302272843,0.7856667697983865
46,46,DALYs (Disability-Adjusted Life Years),Global,Male,70 to 74,Attention-deficit/hyperactivity disorder,Rate,1990,0.9547653551792528,1.6151337023232109,0.5043381191536827
47,47,DALYs (Disability-Adjusted Life Years),Global,Female,70 to 74,Attention-deficit/hyperactivity disorder,Rate,1990,0.5035571278580244,0.9056761348967248,0.2468315648860488
48,48,DALYs (Disability-Adjusted Life Years),Global,Both,70 to 74,Attention-deficit/hyperactivity disorder,Rate,1990,0.7041137950952551,1.1980740135922243,0.3672753848455856
49,49,DALYs (Disability-Adjusted Life Years),Global,Male,75 to 79,Attention-deficit/hyperactivity disorder,Rate,1990,0.3703563713013889,0.6781152838529424,0.16608993284566173
50,50,DALYs (Disability-Adjusted Life Years),Global,Female,75 to 79,Attention-deficit/hyperactivity disorder,Rate,1990,0.21887586613540547,0.4303984976258477,0.09537878307155398
51,51,DALYs (Disability-Adjusted Life Years),Global,Both,75 to 79,Attention-deficit/hyperactivity disorder,Rate,1990,0.28088829368659146,0.5276396165223666,0.12954101680852986
52,52,DALYs (Disability-Adjusted Life Years),Global,Male,All Ages,Attention-deficit/hyperactivity disorder,Rate,1990,18.134048497770667,28.669058267831925,10.997388370735182
53,53,DALYs (Disability-Adjusted Life Years),Global,Female,All Ages,Attention-deficit/hyperactivity disorder,Rate,1990,7.452386072137146,11.91773758798957,4.472389853448534
54,54,DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Attention-deficit/hyperactivity disorder,Rate,1990,12.833164542111106,20.37778894354269,7.751417055945621
55,55,DALYs (Disability-Adjusted Life Years),Global,Male,80 to 84,Attention-deficit/hyperactivity disorder,Rate,1990,0.06620104299995865,0.13830869678172444,0.025227226896359416
56,56,DALYs (Disability-Adjusted Life Years),Global,Male,65 to 69,Attention-deficit/hyperactivity disorder,Rate,1990,1.9220798918121769,3.1747469668381663,1.0551407786177334
57,57,DALYs (Disability-Adjusted Life Years),Global,Female,40 to 44,Attention-deficit/hyperactivity disorder,Rate,1990,5.077193722637484,8.176603981742126,2.973127428212254
58,58,DALYs (Disability-Adjusted Life Years),Global,Female,30 to 34,Conduct disorder,Rate,1990,0.0,0.0,0.0
59,59,DALYs (Disability-Adjusted Life Years),Global,Male,35 to 39,Conduct disorder,Rate,1990,0.0,0.0,0.0
60,60,DALYs (Disability-Adjusted Life Years),Global,Female,80 to 84,Conduct disorder,Rate,1990,0.0,0.0,0.0
61,61,DALYs (Disability-Adjusted Life Years),Global,Both,80 to 84,Conduct disorder,Rate,1990,0.0,0.0,0.0
62,62,DALYs (Disability-Adjusted Life Years),Global,Male,85 to 89,Conduct disorder,Rate,1990,0.0,0.0,0.0
63,63,DALYs (Disability-Adjusted Life Years),Global,Female,85 to 89,Conduct disorder,Rate,1990,0.0,0.0,0.0
64,64,DALYs (Disability-Adjusted Life Years),Global,Both,85 to 89,Conduct disorder,Rate,1990,0.0,0.0,0.0
65,65,DALYs (Disability-Adjusted Life Years),Global,Male,90 to 94,Conduct disorder,Rate,1990,0.0,0.0,0.0
66,66,DALYs (Disability-Adjusted Life Years),Global,Female,90 to 94,Conduct disorder,Rate,1990,0.0,0.0,0.0
67,67,DALYs (Disability-Adjusted Life Years),Global,Both,90 to 94,Conduct disorder,Rate,1990,0.0,0.0,0.0
68,68,DALYs (Disability-Adjusted Life Years),Global,Male,95 plus,Conduct disorder,Rate,1990,0.0,0.0,0.0
69,69,DALYs (Disability-Adjusted Life Years),Global,Female,95 plus,Conduct disorder,Rate,1990,0.0,0.0,0.0
70,70,DALYs (Disability-Adjusted Life Years),Global,Both,95 plus,Conduct disorder,Rate,1990,0.0,0.0,0.0
71,71,DALYs (Disability-Adjusted Life Years),Global,Male,01 to 04,Idiopathic developmental intellectual disability,Rate,1990,88.43546853366945,150.52762080077716,44.403851127995345
72,72,DALYs (Disability-Adjusted Life Years),Global,Female,01 to 04,Idiopathic developmental intellectual disability,Rate,1990,87.54881903751762,144.0462996654152,45.68061599002378
