,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),Oceania,Male,01 to 04,Depressive disorders,Number,1990,0.971585195464256,1.930317863752356,0.4244450105194496
1,1,DALYs (Disability-Adjusted Life Years),Oceania,Both,85 to 89,Attention-deficit/hyperactivity disorder,Number,1990,0.00021707939368825497,0.0005724732560332388,4.842997029523835e-05
2,2,DALYs (Disability-Adjusted Life Years),Oceania,Male,90 to 94,Attention-deficit/hyperactivity disorder,Number,1990,4.641497258417854e-07,2.198617941558101e-06,1.6216005601116194e-08
3,3,DALYs (Disability-Adjusted Life Years),Oceania,Female,90 to 94,Attention-deficit/hyperactivity disorder,Number,1990,3.0799803911245116e-06,1.2412170471619675e-05,2.8665445223174657e-07
4,4,DALYs (Disability-Adjusted Life Years),Oceania,Both,90 to 94,Attention-deficit/hyperactivity disorder,Number,1990,3.544130116966297e-06,1.4234281626252652e-05,3.079811059553859e-07
5,5,DALYs (Disability-Adjusted Life Years),Oceania,Male,95 plus,Attention-deficit/hyperactivity disorder,Number,1990,1.5760173447736654e-09,9.73018560172368e-09,3.5802433350891886e-12
6,6,DALYs (Disability-Adjusted Life Years),Oceania,Female,95 plus,Attention-deficit/hyperactivity disorder,Number,1990,3.357927858514665e-08,1.946091087266262e-07,6.151810786183213e-10
7,7,DALYs (Disability-Adjusted Life Years),Oceania,Both,95 plus,Attention-deficit/hyperactivity disorder,Number,1990,3.515529592992031e-08,1.972357765454411e-07,6.159578137416028e-10
8,8,DALYs (Disability-Adjusted Life Years),Oceania,Male,01 to 04,Conduct disorder,Number,1990,0.0,0.0,0.0
9,9,DALYs (Disability-Adjusted Life Years),Oceania,Female,01 to 04,Conduct disorder,Number,1990,0.0,0.0,0.0
10,10,DALYs (Disability-Adjusted Life Years),Oceania,Both,01 to 04,Conduct disorder,Number,1990,0.0,0.0,0.0
11,11,DALYs (Disability-Adjusted Life Years),Oceania,Male,05 to 09,Conduct disorder,Number,1990,884.5081292966086,1485.324228503876,502.45386591899353
12,12,DALYs (Disability-Adjusted Life Years),Oceania,Female,05 to 09,Conduct disorder,Number,1990,431.5697622658059,735.997491375487,223.25486120521188
13,13,DALYs (Disability-Adjusted Life Years),Oceania,Both,05 to 09,Conduct disorder,Number,1990,1316.0778915624146,2220.548989553253,733.497670539693
14,14,DALYs (Disability-Adjusted Life Years),Oceania,Male,10 to 14,Conduct disorder,Number,1990,2220.928700320213,3589.864618315872,1261.2590774581968
