,index,measure,location,sex,age,cause,metric,year,val,upper,lower
0,0,DALYs (Disability-Adjusted Life Years),Oceania,Male,01 to 04,Depressive disorders,Rate,1990,0.2433851693382961,0.4835507399035799,0.10632481972999726
1,1,DALYs (Disability-Adjusted Life Years),Oceania,Both,85 to 89,Attention-deficit/hyperactivity disorder,Rate,1990,0.0066282718757482,0.017479818411656155,0.0014787539461817516
2,2,DALYs (Disability-Adjusted Life Years),Oceania,Male,90 to 94,Attention-deficit/hyperactivity disorder,Rate,1990,0.00015295858316416268,0.0007245452631693862,5.343916204691124e-06
3,3,DALYs (Disability-Adjusted Life Years),Oceania,Female,90 to 94,Attention-deficit/hyperactivity disorder,Rate,1990,0.0007820470490579955,0.0031516113926267344,7.278529081327227e-05
4,4,DALYs (Disability-Adjusted Life Years),Oceania,Both,90 to 94,Attention-deficit/hyperactivity disorder,Rate,1990,0.0005082766579102799,0.002041390370548352,4.416869642712499e-05
5,5,DALYs (Disability-Adjusted Life Years),Oceania,Male,95 plus,Attention-deficit/hyperactivity disorder,Rate,1990,3.080313759827436e-06,1.9017572804040807e-05,6.9975580187472435e-09
6,6,DALYs (Disability-Adjusted Life Years),Oceania,Female,95 plus,Attention-deficit/hyperactivity disorder,Rate,1990,4.9519966410479295e-05,0.0002869935547566725,9.072186072221615e-07
7,7,DALYs (Disability-Adjusted Life Years),Oceania,Both,95 plus,Attention-deficit/hyperactivity disorder,Rate,1990,2.9548781899449408e-05,0.00016578090981022185,5.177257825903206e-07
8,8,DALYs (Disability-Adjusted Life Years),Oceania,Male,01 to 04,Conduct disorder,Rate,1990,0.0,0.0,0.0
9,9,DALYs (Disability-Adjusted Life Years),Oceania,Female,01 to 04,Conduct disorder,Rate,1990,0.0,0.0,0.0
10,10,DALYs (Disability-Adjusted Life Years),Oceania,Both,01 to 04,Conduct disorder,Rate,1990,0.0,0.0,0.0
11,11,DALYs (Disability-Adjusted Life Years),Oceania,Male,05 to 09,Conduct disorder,Rate,1990,194.7922996722233,327.10804191163953,110.65375295011995
12,12,DALYs (Disability-Adjusted Life Years),Oceania,Female,05 to 09,Conduct disorder,Rate,1990,103.95931450032549,177.2918340609545,53.779074344565274
13,13,DALYs (Disability-Adjusted Life Years),Oceania,Both,05 to 09,Conduct disorder,Rate,1990,151.41065342097176,255.46723003027645,84.38661745721504
14,14,DALYs (Disability-Adjusted Life Years),Oceania,Male,10 to 14,Conduct disorder,Rate,1990,542.7165891904261,877.2362125028508,308.2072038174321
